English,Mon,Original_Definition
Vi.  စိုတ်တုပ်သၟဟ်ဒုၚ်တဲ၊  တိုန်နန်။,accede,vi.  စိုတ်တုပ်သၟဟ်ဒုၚ်တဲ၊  တိုန်နန်။
Vi.  စိုတ်ဓာတ်စှ်ေ။,mope,vi.  စိုတ်ဓာတ်စှ်ေ။
Vi.  စိုတ်လီု၊  ဖျံထောံတဲ၊  အိုတ်အာတၚ်ရန်တၟံ။  despondency   ဒဒှ်စိုတ်မလီုဖျံထောံတဲ။  despondent   မကၠၚ်ဟဳ၊  မဖျံတဲ၊  မလီုစိုတ်၊  မဟောံဇြ။,despond,vi.  စိုတ်လီု၊  ဖျံထောံတဲ၊  အိုတ်အာတၚ်ရန်တၟံ။  despondency (n)  ဒဒှ်စိုတ်မလီုဖျံထောံတဲ။  despondent (adj)  မကၠၚ်ဟဳ၊  မဖျံတဲ၊  မလီုစိုတ်၊  မဟောံဇြ။
Vi.  စိုပ်ဒၟံၚ်ကဆံၚ်ရပ်ဣဏံဒးဟာ ရပ်ဣတေံဒးဟာ၊  စိုပ်ဒၟံၚ်ကဆံၚ်မတ်ဂၠုဒၟံၚ်၊  စိုပ်ဒၟံၚ်ကဆံၚ်သ္ပဣဏံဂှ်ဒးဟာ သ္ပဣတေံဂှ်ဒးဟာ ထပိုတ်အာထပိုတ်ကၠုၚ်။,flounce,vi.  စိုပ်ဒၟံၚ်ကဆံၚ်ရပ်ဣဏံဒးဟာ ရပ်ဣတေံဒးဟာ၊  စိုပ်ဒၟံၚ်ကဆံၚ်မတ်ဂၠုဒၟံၚ်၊  စိုပ်ဒၟံၚ်ကဆံၚ်သ္ပဣဏံဂှ်ဒးဟာ သ္ပဣတေံဂှ်ဒးဟာ ထပိုတ်အာထပိုတ်ကၠုၚ်။
Vi.  စိုပ်အာကဆံၚ်သၠုၚ်အိုတ်။  culmination   ကၞောတ်အထောဋ်။,culminate,vi.  စိုပ်အာကဆံၚ်သၠုၚ်အိုတ်။  culmination (n)  ကၞောတ်အထောဋ်။
Vi.  စိုပ်အာဒတုဲသိုက်သိုက်၊  အုပ်ကၠေံအာနိဂီုသိုက်သိုက်။,peter,vi.  စိုပ်အာဒတုဲသိုက်သိုက်၊  အုပ်ကၠေံအာနိဂီုသိုက်သိုက်။
Vi.  စိုပ်၊  စိုပ်ကၠုၚ်၊  ကၠုၚ်စိုပ်၊  အာစိုပ်။  ၂။  စိုပ်ကၠုၚ်အခိၚ်။  ၃။  ဂွံကၠုၚ်ယၟု၊  ဒယှ်တှ်ကၠုၚ်၊  ပြာကတ်ကၠုၚ်၊  ဂွံရိုဟ်စကၠုၚ်။,arrive,vi.  စိုပ်၊  စိုပ်ကၠုၚ်၊  ကၠုၚ်စိုပ်၊  အာစိုပ်။  ၂။  စိုပ်ကၠုၚ်အခိၚ်။  ၃။  ဂွံကၠုၚ်ယၟု၊  ဒယှ်တှ်ကၠုၚ်၊  ပြာကတ်ကၠုၚ်၊  ဂွံရိုဟ်စကၠုၚ်။
Vi.  စုက်၊  တေက်ဒး၊  ထဍဳ၊  ဒွံဒး၊  ဇီု၊  ဇီုဒး၊  ဒှ်ညးမွဲမွဲဂၠံၚ်၊  ဒစဵုဒစးဒၟံၚ်၊  သဍဳ။  collide with   လုက်၊  လုက်ဒး။  collision   ပွမဇီုတေက်ဒး။,collide,vi.  စုက်၊  တေက်ဒး၊  ထဍဳ၊  ဒွံဒး၊  ဇီု၊  ဇီုဒး၊  ဒှ်ညးမွဲမွဲဂၠံၚ်၊  ဒစဵုဒစးဒၟံၚ်၊  သဍဳ။  collide with (vt)  လုက်၊  လုက်ဒး။  collision (n)  ပွမဇီုတေက်ဒး။
Vi.  စော်၊  ယဲခၞော်၊  သၞော်၊  နှော်။  n.  ဒဒှ်မသၞော်၊  ဒဒှ်မနှော်။  ၂။  ဆန္ဒနွံ၊  စိုတ်နွံ။  itchy   မသၞော်၊  မနှော်၊  မနွံကဵုဆန္ဒ။,itch,vi.  စော်၊  ယဲခၞော်၊  သၞော်၊  နှော်။  n.  ဒဒှ်မသၞော်၊  ဒဒှ်မနှော်။  ၂။  ဆန္ဒနွံ၊  စိုတ်နွံ။  itchy (adj)  မသၞော်၊  မနှော်၊  မနွံကဵုဆန္ဒ။
Vi.  စဳရေၚ်ဖ္ဍိုက်ဗပေၚ်ကဵု။,cater,vi.  စဳရေၚ်ဖ္ဍိုက်ဗပေၚ်ကဵု။
