English,Mon,Original_Definition
Unconvered.  ဥပး၊ ဥပသက၊ ကရှ်၊ ကရုဟ်၊ ခရှ်၊ ဂရှ်၊ ဂဟပ္ပတိ၊ ဒကာ၊ မၞိဟ်အပြောံ၊ သာထုဇန်၊ သတ်ပ္တုဲဇန်။,ပုထုဇန်,"(n) [P. puthujjano] an unconverted man, ordinary human being {with the usual failings and foibles}, layman, unconvered. [id] ဥပး၊ ဥပသက၊ ကရှ်၊ ကရုဟ်၊ ခရှ်၊ ဂရှ်၊ ဂဟပ္ပတိ၊ ဒကာ၊ မၞိဟ်အပြောံ(မ်)၊ သာထုဇန်၊ သတ်ပ္တုဲဇန်။"
Unconverted man,သာထုဇန်,"(n) [P. sadhujjano] ordinary man, unconverted man."
Unconverted person.  ပုထုဇန်။,သတ်ပ္တုဲဇန်,"(n) man of the people, unconverted person. [id.] ပုထုဇန်။"
Uncooked food,ဇဟန်ဒမျိုၚ်,"(n) husked rice, uncooked food."
Uncooked husked rice,သ္ၚု,"(n) uncooked husked rice, husked rice. [Cf.] ပုၚ်၊ သြောံ(အ်)။ [Syn.] ဇဟန်ဒမျိုၚ်။"
Uncorrupted,ဍက်,"(v) to be pure, uncorrupted."
Uncouth,ရိုၚ်,"2 (adj) rude, uncouth, uncivilized, wild, untamed virgin {soil}."
Uncouth or uncultivated person,မၞိဟ်အရိုၚ်,"(n) savage, uncivilized person, uncouth or uncultivated person."
Uncover,ပံက်,"2 (v) to be open, to open, to be uncovered, {lightning} to flash, uncover, lift {cover}, to turn on, to expound.    ဆေဝ်ပလေဝ်ပံက် (v) the lightning flashed.    တလာပံက်မံၚ် (v) the box is open.    နုၚ်ဍာ်သွုၚ်ပံက်မံၚ် (v) the drinking water jar is uncovered. [Cf.] မၠာ်(က်)၊ ဟာ။ [opp.] တၟာတ်၊ ဒဝ်။    [Der.] ပၞော်(က်) (n) aperture. [Syn.] လ္ပံက်။    ပံက်ခအဳဆဵုဒးကၞုဲ (v) lift up the mortar and found the monkey underneath."
Uncover,လ္ပံက်,"(v) to be open, uncovered, {lightening} to flash, to poem, uncover, lift {cover}, to turn on, to expound, to give an explanation, comment."
Uncovered,ခလှာတ်,"2 (adj.) uncovered, exposed. [id] ခလှာတ်ဖြူ၊ မံက်ခရူ။"
Uncovered,လ္ပံက်,"(v) to be open, uncovered, {lightening} to flash, to poem, uncover, lift {cover}, to turn on, to expound, to give an explanation, comment."
Unctuous,မဟွံယျဵုလ္ဂူ,မဟံယျဵုလ္ဂူတပ်တးအပ္ဍဲပွ အပ္ဍဲလဟီု (adj) unctuous.
Uncultivated,ရိုၚ်,"1 (v) to be wild, to be rude, to be uncouth, untame, savage, uncultivated, coarse, ill-bred, rude, not tight.    ကျာရိုၚ်မံၚ် (v) the wind is wild, it is not air tight.    ဂၠဴရိုၚ်မံၚ်လ္ပအာဗ္ဒာဲဍေံ ဍေံဒိဒး (v) the bull is savage, do not go near it or it will charge you.    မၞိဟ်ဏံရိုၚ်ကွေံဟီုအရေဝ်ဟွံရောံဒညကဵုယာဲတ (v) what a savage he is! He speaks disrespectfully to his parents."
Uncultivated,အရိုၚ်,"(adj.) rude, uncultivated, wild."
Uncultivated land,တိသမၠး,"(n) vacant land, fallow land, uncultivated land."
Uncultured person,အရိုၚ်,"(n) wildness, [esp.] of human beings, primitive state, lack of breeding, uncultured person, uninitiated or native person, anything wild, untamed, undomesticated, something in its natural state, {of gem} uncut, raw."
Uncut,အရိုၚ်,"(n) wildness, [esp.] of human beings, primitive state, lack of breeding, uncultured person, uninitiated or native person, anything wild, untamed, undomesticated, something in its natural state, {of gem} uncut, raw."
Undecidedly,ဆုတ်တိုန်ဆုတ်စှ်ေ,"(adv) {move} backwards and forwards, undecidedly."
Undefined,အဗျာကြိုတ်,"(adj.) [P. abyakato] [Skt. avykarita] undefined, unexplained."
Under,ပ္ဍဲ,"ပ္ဍဲအသၟဝ် (prep) under, underneath."
Under,သၟဝ်,"1 (prep) under, beneath."
Under,အမှဝ်,"(prep.) [colloq] lower part, under, underneath, below. [id] အသၟဝ်။"
Under,အသၟဝ်,"(prep.) [colloq] lower part, under, underneath, below. [id] အမှဝ်။"
Under,အသၟဝ်,"(perp.) below, under."
Under careful or close guardianship,ဟွံခြာနူဂၠံသြိုဟ်,"(adv) {look after} closely, carefully, under careful or close guardianship."
Under duress,ဗွဲအဓမ္မ,"(adv) under duress, by force."
Under duress.  အခိုၚ်အနှိၚ်။,အခိုၚ်အနိၚ်,"(adv) by force, forcibly, against one’s will, under duress. [Cf.] အခိုၚ်အနှိၚ်။"
Under estimate,ဖျံတော်,"(v) underrate, under estimate."
Under estimate,အထေၚ်သဝ်,"(n) act of looking down upon, having a low opinion of someone, under estimate."
Under growth,တၞံကေတ်ဒမျံက်,(n) under growth.
Under one’s very nose,ဒဒှ်မနွံပ္ဍဲတၞုၚ်မုဟ်,"(n) under one’s very nose, the present."
Under part,ဂတာ,"2 (n) under part, bottoms.    တၟံခိုဟ်သ္ဒးစွံဂတာန၊ သြောံခိုဟ်သ္ဒးစွံဖာလ္တူတုဲ (n) putting the stone as the bottom of the basket and the rice on the top. [Cf.] သ္ပာ။"
Under the control of.  ပၠောပ်သ္ကေံတဲ။,လုပ်သ္ကေံတဲ,(v) under the control of. [id.] ပၠောပ်သ္ကေံတဲ(ယ်)။
Under the counter.    တေံတဲ  tip of,တေံ,"1 တေအ် (v) touch something lightly, dab, goad.    တေံကေတ်တဲ (adv) {dispense favour} surreptitiously, under the counter.    တေံတဲ (v) tip of, give notice."
Under the hill on the south,ခစှ်ေဒဵုဒိုဟ်သမၠုၚ်ကျာ,"(prep.) under the hill on the south, on the south side of the hill."
Under the hill on the south,ဒစိဟ်ဒဵုဒိုဟ်သမၠုၚ်သကျာ,"(n) under the hill on the south, on the south side of the hill."
Under the power,သၟဝ်တဲ,"(n) assistant, under the power."
Under the shade of the tree,အသၟဝ်,"အသၟဝ်သၞိၚ်တၞံဆု (prep.) in the shade of the tree, under the shade of the tree."
Under water sail of bamboo matting,ယာဍာ်,"(n) under water sail of bamboo matting, jury-rigged to a sailing boat to take advantage of a favourable current."
Under-growth,တၞံခြုံရာပ်ဇုက်ပံၚ်,(n) under-growth.
Under. tower,အသၟဝ်,အသၟဝ် (adj.) under.[opp.] tower.
Underclothes,ဗွိုက်ဒုၚ်ပလက်,"(n) underclothes, linen."
Undercover agent,တြုံစၟုတ်,"(n) spy, undercover agent."
