English,Mon,Original_Definition
Take  with one,ကော်ဏာ,"(v) to fetch away, take {person} with one, to call away."
Take a bath by pouring water over oneself from a jar,ဟုံ,"(v) to bathe, take a bath by pouring water over oneself from a jar, cistern, smear, be smeary, daub, be smeared. [Cf.] ကြာတ်၊ တလီု(မ်)၊ ပၠဳ၊ ဗလိုပ်၊ လဳ၊ လာၚ်၊ သၠု။ [Der.] ဖုံဍာ်(က်) (v) to give a bath to."
Take a bath by pouring water over oneself from a jar,ဟုမ်,"(v) to bathe, take a bath by pouring water over oneself from a jar, cistern, smear, be smeary, daub, be smeared. [Cf.] ကြာတ်၊ တလီု(မ်)၊ ပၠဳ၊ ဗလိုပ်၊ လဳ၊ လာၚ်၊ သၠု။ [Der.] ဖုံဍာ်(က်) (v) to give a bath to."
Take a bow,ဗျံက္ဍိုပ်,"(v) take a bow, to bow down the head."
Take a city.  စၞေဟ်ဂွံဍုၚ်။,သီဂွံဍုၚ်,(v) take a city. [id.] စၞေဟ်ဂွံဍုၚ်။
Take a cut for one's own benefit,သ္ပပွမတတ်စအကြာ,"(v) take a cut for one's own benefit, take unfair advantage of opportunities."
Take a dose three times a day.  အခါ၊ ကာလ၊ ပယျာံ။,အခိၚ်,မွဲတ္ၚဲပိအခိၚ်သုၚ်ညိ (n) take a dose three times a day. [id.] အခါ၊ ကာလ၊ ပယျာံ။
Take a husband,ကေတ်တြုံ,ကေတ်တြုဟ် (v) take a husband.
Take a husband,မံၚ်တြုံ,(n) take a husband.
Take a load off one’s mind,ဒယိုန်ပ္ဍိုက်,"(v) to take a load or burden on oneself, {colloq} take a load off one’s mind."
Take a long time,ဇမၠိၚ်သ္ၚောဲ,"(v) procrastinate, be delayed, drag {it} out, take a long time, be a long time {since}, to be distant, be belated, coming very late or too late."
Take a long time to go through the cycle of rebirths,သံသာဂၠိၚ်,"(v) take a long time to go through the cycle of rebirths, be protracted, be a waste of time."
Take a magical diagram.  ထပက်ရုပ်ဗီုအ္စာဂဥုဲဒုၚ်၊ ဖျေံအၚ်၊ ဖျေံယန်။,ဖျေံအၚ်ယန်,(v) take a magical diagram. [id] ထပက်ရုပ်ဗီုအ္စာဂဥုဲဒုၚ်၊ ဖျေံအၚ်၊ ဖျေံယန်။
Take a matter to a court,တိုန်ရုၚ်,"(v) go to office, litigate, take a matter to a court."
Take a purgative or laxative,နုက်ဂၞဴ,"(v) taek an opening does, take a purgative or laxative."
Take a rough measure,ရာရံၚ်,"(v) estimate, try out, take a rough measure."
Take a short cut,ဗက်ဂၠံၚ်ကရတ်,"(v) cut red tape, take a short cut."
