English,Mon,Original_Definition
Garlic,လသိုန်ဗ္တာၚ်,(n) garlic.
Garlic and fish paste  taken by women after child birth,ဍာ်ဂဂမ်,"(n) a kind of soup with heavy peppery seasoning, peppery soup, bitter preparation of fish and vegetables given to stimulate location, a preparation of smoked fish, vegetable, pepper, garlic and fish paste {ခရံက်} taken by women after child birth, to stimulate lactation."
Garlic and fish paste  taken by women after child birth,ဍာ်ဂဂံ,"ဍာ်ဂဂမ် (n) a kind of soup with heavy peppery seasoning, peppery soup, bitter preparation of fish and vegetables given to stimulate location, a preparation of smoked fish, vegetable, pepper, garlic and fish paste {ခရံက်} taken by women after child birth, to stimulate lactation."
Garlic.  လသိုန်ဗ္တာၚ်။,ကသိုန်ဗ္တာၚ်,(v) garlic. [id] လသိုန်ဗ္တာၚ်။
Garment,ဒၠိက်,"(n) man’s waistcloth, loin-cloth, garment [Bur. လုံချည် {longyi, puhso}]"
Garment,ယာတ်လ္တက်,"(n) clothing, garment, cotton blanket, blanket worn as garment, blanket or sleeping cloth."
Garments,ဂၠိက်ယာတ်,"(v) clothing, garments, clothes."
Garments,ယာတ်,"(n) cloth, clothes, {upper} garments, clothing."
Garments,ယာတ်ဗွိုတ်,"(n) clothing, garments."
Garrison,ဒပ်ပၟၚ်ပၟဲဍုၚ်,(n) garrison.
Garrison town,မြုဒပ်,"(n) {orch} fort, garrison town."
Garrulity,ဒဒှ်မဟီုအရေဝ်ဂၠိုၚ်,(n) garrulity.
Garuda,ဂစေံသ္ပဝ်,"(n) garuda, monstrous bird of legend, the mythical king of birds."
Garuda,သ္ပဝ်,"(n) [P. supanno] Garuda, mythical king of birds. [id.] ဂစေံသ္ပဝ်။"
Gas,ခမူ,"(n) odour, vapour, gas, exhalation, smell. [id] သၟူ။"
Gas,ဓါတ်,သၟုဟ်ဓါတ် (n) gas.
Gas,သၟူ,"1 (n) odour, vapour, gas, exhalation. [Cf.] ခၟူ၊ မသ၊ မြမောဝ်။ [Der.] မောဝ် (v) to be fragrant."
Gas eructated when belching.  ထ္အံကျာ။ ,ထအိုအ်,"1 (n) retch, eruct, belch {wind from the stomach}, gas eructated when belching. [Var.] ထ္အံကျာ။ [id]."
Gas or fume,အကၚ်ဂျိ,"(n) poisonous vapour, gas or fume, eruption caused by poison."
