English,Mon,Original_Definition
Camphorated oil,ကၠေၚ်ပရုတ်,"(n) camphor ointment, camphorated oil, balm."
Can he still see?,ညာတ်,မတ်ညးညာတ်ဒၟံၚ်ဏီဟာ (v) can he still see?
Can he still see?,မတ်ညးညာတ်မံၚ်ဏီဟာ,(n) can he still see?
Can he still see?  first sense,ညး,"လကျာ်အယုက်ဇၞော်ရ မတ်ညးညာတ်ဒၟံၚ်ဏီဟာ (pron.) His Reverence is very old, can he still see? [Cf.] first sense, မၞိဟ်။ second sense, ဍေံ(ဟ်)။"
Can or bottle opener,ဇွောံဖံက်စေဝ်,(n) can or bottle opener.
Can you not see the green in front of the monastery?,ဆဵု,ခလှာတ်ဘာဟွံဆဵုပုဟ်ဟာ (v) can you not see the green in front of the monastery?
Can you not see the green in front of the monastery?,ဗုဟ်,ခလှာတ်ဘာဟွံဆဵုဗုဟ်ဟာ (pv) (neg) can you not see the green in front of the monastery?.
Can you take me to your village?,ကော်ဏာ,ဗှ်ေကော်ဏာအဲပ္ဍဲကွာန်ဗှ်ေမာန်ဟာ (v) can you take me to your village?
Can တေံညိ။,could,ရံၚ် can တေံညိ။
Canal,ကပတ်,"(n) canal, creek, connecting main waterways, a short cut on a river or stream. [id] လပတ်၊ ကြုၚ်လပတ်။"
Canal,မြံၚ်ကဵုဍာ်,(n) canal.
Canal,လ္ပတ်,"(n) canal, creek, connecting main waterways. [id.] ကြုၚ်လ္ပတ်။ [Cf.] ကပတ်။"
Canasta,ဂဥုဲတၞး,"(n) tobacco leaf, canasta."
Canavalia ensiformis,သိၚ်ဃဵုဂလာ,"(n) sword bean, Canavalia ensiformis."
Cancel,ပဲါတး,"(v) annul, abrogate, cancel, nullify."
Cancellation.  ဒဒှ်မရုပ်သီပဲါတးထောံ။,ဒဒှ်မသီပလီုထောံ,(n) cancellation. [id] ဒဒှ်မရုပ်သီပဲါတးထောံ။
Cancer.  ယဲဂန္ဓမာလာ။,ဂန္ဓမာလာ,"(n) mailgant tumour, cancer. [id] ယဲဂန္ဓမာလာ။"
Cancer.  ယဲဂန္ဓမာလာ။,ယဲရိုဟ်,(n) cancer. [id.] ယဲဂန္ဓမာလာ။
Cancer.  ယဲရိုဟ်။,ကိန်သာ,(n) [Eng.] cancer. [id] ယဲရိုဟ်။
Cancer.  ယဲရိုဟ်။,ယဲဂန္ဓမာလာ,(n) cancer. [id.] ယဲရိုဟ်။
Candidate.  မၞိဟ်လုပ်သွဟ်ပေဲါသၟာန်လိတ်။,မၞိဟ်မလုပ်ဒုၚ်ရုဲစှ်မာဲ,(n) candidate. [id.] မၞိဟ်လုပ်သွဟ်ပေဲါသၟာန်လိတ်။
Candidature.  ပွမလုပ်သွဟ်ပေဲါသၟာန်လိက်။,ပွမလုပ်ဒုၚ်ပြိုၚ်ရုဲ,(n) candidature. [id] ပွမလုပ်သွဟ်ပေဲါသၟာန်လိက်။
Candidly,ပံက်သြိုဟ်,"(v) open one’s heart, unburden one’s feelings. (adv) openly, frankly, frankly in plain view, candidly, conspicuously, flagrantly. [id] တေဝ်တေဝ်သေဝ်သေဝ်။"
Candied fruit,ယိုဟ်,"(v) preserved fruit, compote, jam, candied fruit, fruits preserved in sugar. [Cf.] ယိုဟ်သ္ၜန်။"
Candle,ပၞာၚ်,(n) candle.
Candle,ပၟတ်ပၞာၚ်,(n) candle.
Candle made by rolling wax on a wick,ပၞာၚ်ဗ္ၜန်,"(n) rolled candle, candle made by rolling wax on a wick."
Candle make by rolling wax on a wick,ဗၜန်,ပၞာၚ်ဗ္ၜန် (n) candle make by rolling wax on a wick.
