English,Mon,Original_Definition
Salaried.  မနွံကဵုသြန်ဂိတု။,မဒှ်ညးမစသြန်ဂိတု,(adj) salaried. [id] မနွံကဵုသြန်ဂိတု။
Salary earner,ရဲစသြန်ဂိတု,"(n) worker on payroll, salary earner, salaried worker."
Salary scale,ဗ္ၜတ်သၠုဲဂိတု,"(n) salary scale, pay-scale."
Sale reduce price,ၚုဟ်ဖျံ,ၚုဟ်ဖျအ် (v) sale reduce price.
Salesman,မၞိဟ်သွံဖျာ(တြုံ),(n) salesman.
Salesmanship,ဒဒှ်မစိုတ်သ္ကီုပ္ဍဲအရာသွံဖျာ,(n) salesmanship.
Saleswoman,မၞိဟ်သွံဖျာ(ဗြဴ),(n) saleswoman.
Saline.  salt,ဗၟူ,(adj) saline. (n) salt.
Saline.  ဗၟူ၊ တိဗၟူၜဵု။,ဗမူ,1 (adj) saline. [id] ဗၟူ၊ တိဗၟူၜဵု(ဝ်)။
Saliva,ဍာ်ကံ,ဍာ်ကအ် (n) saliva.
Saliva,ဍာ်ဂစှ်,"(n) saliva, phlegm. [id] ဍာ်ကသှ်။"
Saliva.  ဍာ်ကသှ်။,ဍာ်ပါၚ်,"(n) spittle, saliva. [Syn.] ဍာ်ကသှ်။"
Saliva.  ဍာ်ပါၚ်၊ ဍာ်ကံ၊ ဍာ်ဒဇူတိတ်နူပါၚ်။,ဍာ်ကသှ်,"(n) spittle, saliva. [Syn.] ဍာ်ပါၚ်၊ ဍာ်ကံ(အ်)၊ ဍာ်ဒဇူတိတ်နူပါၚ်။"
Salivate,ဍာ်ကံတိတ်,"(v) salivate, mouth watered, water at the  mouth {of a child} drool crave for. [id] ဍာ်ကံဒဇူ။"
Salix tetraspema roxburgh.  မာဲဂြာဲ။,မာ,"7 (n) မာဂြာဲ (n) willow, Salix tetraspema Roxburgh. [Var.] မာဲဂြာဲ။"
Salix tetrasperma roxburgh.  မာဂြာဲ။,မာဲဂြာဲ,"(n) willow, salix tetrasperma Roxburgh. [Var.] မာဂြာဲ(ယ်)။"
Sallow flat-bottomed basket,ဍေန်,"1 (n) ခ္ဍေန် (n) sallow flat-bottomed basket, smaller than winnowing ကၞာဲ။"
Salmon,ကသလံက်ဂၚ်,(n) salmon.
Salmon pink.  ဗ္ကေတ်ပလီု။,သာ်ခပဵု,(n) salmon pink. [Cf.] ဗ္ကေတ်ပလီု(မ်)။
Saloom car,ကာသလုန်,(n) saloom car.
Saloon,ကွဳစက်ဒ္ၚောဝ်,"(n) saloon, sedan."
Salt,ဂွပ်,"(v) to preserve, salt, pickle."
Salt,ၜဵု,(n) salt.
Salt,ၜိုဝ်,(n) salt.
Salt ,ပအဵု,2 ပအိုဝ် (n) salt {absolute}.
Salt ,ပအိုဝ်,2 (n) salt {absolute}.
Salt crystals formed naturally on the surface of the ground,ဗၟူၜဵု,"(n) salt crystals formed naturally on the surface of the ground, a saltlick."
Salt fish,ကသော,"(n) dried fish, salt fish."
Salt fish,ဂွပ်,ကဂွပ် (n) salt fish.
Salt ground.  တိဗၟူ၊ တိဗၟူၜဵု။,တိဗမူ,(n) salt ground. [id] တိဗၟူ၊ တိဗၟူၜဵု။
Salt marsh,ဝါၜဵု,(n) salt marsh.
Salt min,က္တိုၚ်ၜဵု,(n) salt min.
Salt prepared in the same way with honey,ၜဵုဘိက်,"(n) salt prepared in the same way with honey, like ၜဵုသိန္ဓဴရ။"
Salt prepared with cow urine,ၜဵုသၟုဟ်ဒြဳ,(n) salt prepared with cow urine.
Salt prepared with sesamum  oil,ၜဵုသွဟ်,(n) salt prepared with sesamum {sesame} oil.
Salt prepared with spirits,ၜဵုဗိက်,(n) salt prepared with spirits.
Salt water,ဍာ်ဖၞုၚ်,"(n) salt water, sea water, brine. [opp.] ဍာ်ပ္တေက်။"
Salt water,ဖၞုၚ်,"(n) saltiness, salt water."
Salt-cellar,ခေါ်ၜဵု,(n) salt-cellar.
Salt-marsh,ဝါၜဵု,(n) salt-marsh.
Salt.  ဗၟူ။   ၜဵု။,ဗမူ,2 (n) salt. [id] ဗၟူ။ [Var.] [id] ၜဵု(ဝ်)။
Salted and preserved soya beans,ခရံက်ၜဲ,(n) salted and preserved soya beans.
Saltiness,ပဍုၚ်,ဖၞုၚ် (n) saltiness.
Saltiness,ပ္ဍုၚ်,ဖၞုၚ် (n) saltiness.
Saltiness,ဖနုၚ်,"(n) saltiness, saltwater. [id] ဖၞုၚ်။"
Saltiness,ဖၞုၚ်,"(n) saltiness, salt water."
Saltiness.  ခဏုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ်  salt water.    ဖၞုၚ်ဗ္စး  seasoning.     ပ္ဍုၚ်  to be salt,ခၞုၚ်,"2 (n) saltness, saltiness. [id] ခဏုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ် (n) salt water.    ဖၞုၚ်ဗ္စး (n) seasoning.    [Der.] ပ္ဍုၚ် (v) to be salt."
Saltiness.  ခၞုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ်  salt water.    ဖၞုၚ်ဗ္စး  seasoning.     ပ္ဍုၚ်  to be salt,ခဏုၚ်,"2 (n) saltness, saltiness. [id] ခၞုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ် (n) salt water.    ဖၞုၚ်ဗ္စး (n) seasoning.    [Der.] ပ္ဍုၚ် (v) to be salt."
Saltiness.  ဖၞုၚ်။    ဍာ်ပၞုၚ်  salt water.    ဖၞုၚ်ဗ္စး  seasoning.    ဖၞုၚ် nasal form of ပၞုၚ်  to be salt,ပၞုၚ်,1 (n) saltiness. [id] ဖၞုၚ်။    ဍာ်ပၞုၚ် (n) salt water.    ဖၞုၚ်ဗ္စး (n) seasoning.    ဖၞုၚ် nasal form of ပၞုၚ် (v) to be salt.
Saltness,ခဏုၚ်,"2 (n) saltness, saltiness. [id] ခၞုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ် (n) salt water.    ဖၞုၚ်ဗ္စး (n) seasoning.    [Der.] ပ္ဍုၚ် (v) to be salt."
Saltness,ခၞုၚ်,"2 (n) saltness, saltiness. [id] ခဏုၚ်၊ ဖၞုၚ်။    ဍာ်ဖၞုၚ် (n) salt water.    ဖၞုၚ်ဗ္စး (n) seasoning.    [Der.] ပ္ဍုၚ် (v) to be salt."
