English,Mon,Original_Definition
Kernel,ဖဍုန်,"1 (n) kernel, kernel of grain or meat of a nut. [id] ဖ္ဍန်။ [Cf.] ဗဍန်၊ မ။    ဖ္ဍန်ခၟာဲ(ယ်) (n) yolk of eggs. [Syn.] ကြုတ်ခၟာဲ(ယ်)။ [opp.] ဖျုန်ခၟာဲ(ယ်)။    ဖ္ဍန်သတ် (n) kernel of areca nut.    ဖ္ဍန်သတ်ဗြဴ (n) coconut after removal of fibrous outer shell.    ဖ္ဍန်သြောံ(အ်) (n) rice kernel."
Kernel,ဗဍန်,"(n) kernel, kernel of grain, meat of nut. [Cf] မ၊ ဖ္ဍန်။"
Kernel,မ,"2 (n) seed, kernel, pill, small particle, small round object, quantifier for fruit, clocks.    ဂဥုဲမ (n) pills.    နာဍဳမွဲမ (n) one clock.    ဝေၚ်မကဴကှေ် (n) to play the Mimusops seed game.   သတ်ဂစွံပိမ (n) three myrobalans. [Cf.] [id] ဖ္ဍန်။"
Kernel of areca nut,ဖ္ဍန်သတ်,(n) kernel of areca nut.
Kernel of areca nut,ဗဍန်သတ်,(n) kernel of areca nut.
Kernel of areca-nut,ခ္ဍန်သတ်,(n) kernel of areca-nut.
Kernel of grain,ဗဍန်,"(n) kernel, kernel of grain, meat of nut. [Cf] မ၊ ဖ္ဍန်။"
Kernel of grain or meat of a nut.  ဖ္ဍန်။  ဗဍန်၊ မ။    ဖ္ဍန်ခၟာဲ  yolk of eggs.  ကြုတ်ခၟာဲ။  ဖျုန်ခၟာဲ။    ဖ္ဍန်သတ်  kernel of areca nut.    ဖ္ဍန်သတ်ဗြဴ  coconut after removal of fibrous outer shell.    ဖ္ဍန်သြောံ  rice kernel,ဖဍုန်,"1 (n) kernel, kernel of grain or meat of a nut. [id] ဖ္ဍန်။ [Cf.] ဗဍန်၊ မ။    ဖ္ဍန်ခၟာဲ(ယ်) (n) yolk of eggs. [Syn.] ကြုတ်ခၟာဲ(ယ်)။ [opp.] ဖျုန်ခၟာဲ(ယ်)။    ဖ္ဍန်သတ် (n) kernel of areca nut.    ဖ္ဍန်သတ်ဗြဴ (n) coconut after removal of fibrous outer shell.    ဖ္ဍန်သြောံ(အ်) (n) rice kernel."
Kernel.  ခဍန်။    ခ္ဍန်ခၟာဲ  yolk of egg.  ကြုတ်ခၟာဲ။  ဖျုန်ခၟာဲ။    မ ခ္ဍန်သတ်  kernel of areca-nut.    ခ္ဍန်သတ်ဗြဴ  coconut after remove of fibrous outer shell.    ခ္ဍန်သြောံ  rice kernel,ခ္ဍန်,1 (n) kernel. [id] ခဍန်။    ခ္ဍန်ခၟာဲ(ယ်) (n) yolk of egg. [opp.] ကြုတ်ခၟာဲ(ယ်)။ [Cf.] ဖျုန်ခၟာဲ(ယ်)။    မ ခ္ဍန်သတ် (n) kernel of areca-nut.    ခ္ဍန်သတ်ဗြဴ (n) coconut after remove of fibrous outer shell.    ခ္ဍန်သြောံ(အ်) (n) rice kernel.
Kernel.  ခ္ဍန်။    ခ္ဍန်ခၟာဲ  yolk of egg.  ကြုတ်ခၟာဲ။  ဖျုန်ခၟာဲ။    မ ခ္ဍန်သတ်  kernel of areca-nut.    ခ္ဍန်သတ်ဗြဴ  coconut after remove of fibrous outer shell.    ခ္ဍန်သြောံ  rice kernel,ခဍန်,1 (n) kernel. [id] ခ္ဍန်။    ခ္ဍန်ခၟာဲ(ယ်) (n) yolk of egg. [opp.] ကြုတ်ခၟာဲ(ယ်)။ [Cf.] ဖျုန်ခၟာဲ(ယ်)။    မ ခ္ဍန်သတ် (n) kernel of areca-nut.    ခ္ဍန်သတ်ဗြဴ (n) coconut after remove of fibrous outer shell.    ခ္ဍန်သြောံ(အ်) (n) rice kernel.
Kernel.  မ၊ ဗဍန်။,ဖ္ဍန်,1 (n) kernel. [Cf.] မ၊ ဗဍန်။
Kernel. see ခဍန် ,ခ္ဍန်,(n) kernel. See ခဍန် (n).
Kerosene,ကၠေၚ်ဍေန်,"(n) kerosene, paraffin."
Kerosene,တၠေၚ်ဍေန်,(n) kerosene.
Kerosene,တၠေၚ်တိ,"(n) petrol, kerosene, earth oil."
Kettle drum,ဖံဍိက်ကျာ်,(n) kettle drum.
Kettle drum.  ဖံကၞာဲ။,ဖံအလုံဗဵု,(n) kettle drum. [id] ဖံကၞာဲ(ယ်)။
