English,Mon,Original_Definition
Balance.    ဟွံပေၚ်ဒကေဝ်  he is not all there.    ၜိုတ်ဒကေဝ်ဏံ  this is the side of it,ဒကေဝ်,"1 (n) weight a little less than half an ounce, the hundredth part of a viss.    သၠဒကေဝ် (n) scales, balance.    ဟွံပေၚ်ဒကေဝ် (n) he is not all there.    ၜိုတ်ဒကေဝ်ဏံ(အ်) (n) this is the side of it, this is how it is. [Cf.] ဂယျိုၚ်၊ နှီ၊ မူ၊ မး၊ လယျိုၚ်၊ သ္ကေဝ်၊ ၜဲ။    [Der.] ကေဝ် (v) to weight.    ပိဒကေဝ် (n) three ticals, Bur. Three kyats, Siam, three baht."
Balas ruby,မတ်ဗ္ကေတ်,"(n) spinel, balas ruby."
Bald,ခလာတ်,"2 (v) to be bare, bald, shaven, to bare. [id] ထလာတ်။    က္ဍိုပ်ခလာတ် (n) shaven head.    ဝါထလာတ် (n) bare plain. [Cf.] တ္ၚာတ်။    [Der.] ထလာတ် (n) green.    ခလာတ်တကေတ်တုဲ (v) laying his bottom bare."
Bald.  ခလှာတ်  field,ခၠာတ်,"(v) to be open, cleared, to be bare, bald. [Der.] ခလှာတ် (n) field."
Baldhead,ကလှာတ်,က္ဍိုပ်ကလှာတ် (adj.) baldhead.
Baldly,နဒဒှ်မဒှ်က္ဍိုပ်ထလာတ်,(adv) baldly.
Baldly   နဒဒှ်က္ဍိုပ်မထလာတ်။  baldness   ဒဒှ်က္ဍိုပ်မထလာတ်။,bald,"adj.  တမ္ၚာတ်၊  ခလာတ်၊  ခလှာတ်၊  မနွံကဵုက္ဍိုပ်ထလာတ်ဒၟံၚ်လ္တူက္ဍဟ်၊  မနွံကဵုတၞး,မနွံကဵုသော်ဗြးဗြး(တၞံဆု,က္ဍိုပ်)၊  မဟၟဲကဵုသော်(က္ဍိုပ်ခလာတ်)။  baldly (adv)  နဒဒှ်က္ဍိုပ်မထလာတ်။  baldness (n)  ဒဒှ်က္ဍိုပ်မထလာတ်။"
Baldness,ဒဒှ်က္ဍိုပ်မထလာတ်,(n) baldness.
Bale,သာတ်,"1 (v) to scoop up, draw, bale, bail. [Cf.] တုက်၊ တၟံက်၊ တံၚ်၊ ဒလာၚ်။    [Der.] သၞာတ် (n) baleer, bailing scoop."
Bale,သြာတ်,"(v) to scoop up, draw, bale, bail, to bale water. [Cf.] တုက်၊ တံၚ်၊ တၟံက်၊ ဒလာၚ်။ [Var.] သာတ်၊ သှာတ်။"
Bale.  တုက်၊ တံၚ်၊ တၟံတ်၊ ဒလာၚ်။  ခၞာတ်  bale.  သၞာတ်။,သှာတ်,"(n) to scoop up, draw, bail, bale. [Cf.] တုက်၊ တံၚ်၊ တၟံတ်၊ ဒလာၚ်။ [Der.] ခၞာတ် (n) bale. [id.] သၞာတ်။"
Baled out water,လသာတ်ပ္တိုန်ဍာ်,(v) baled out water.
Baler,ခဏာတ်,"1 (n) baler, trowel. A scoop for baling water out of a boat. [id] ခၞာတ်။    [Der.] သာတ် (v) to scoop up."
Baler,ခၞာတ်,"1 (n) baler, trowel. A scoop for baling water out of a boat. [id] ခဏာတ်။    [Der.] သာတ် (v) to scoop up."
Baler.  ခၞာတ်။,မၞိဟ်ဂွဳဓုပ်ကပေါတ်,(n) baler. [id.] ခၞာတ်။
Baliaspermum axillare blume,ဝ,"3 (n) see ခ္ဍာဝ (n) kind of shrub, Baliaspermum axillare Blume."
Baling scoop.  သၞာတ်။,ခၞာတ်,(n) baling scoop. [id] သၞာတ်။
