English,Mon,Original_Definition
Date,စံပလံ,စံပလမ် (n) သတ်စံပလံ(မ်) (n) date.
Date,တိုၚ်မွဲကဝ်,"(n) commemorative wooden post bearing a legend, name, date, ect."
Date,ပလံ,"2 ပလမ် (n) စံပလံ(မ်) (n) date, date palm."
Date,ပလမ်,"2 (n) စံပလံ(မ်) (n) date, date palm."
Date,သက္ကရာတ်,"(n) era, epoch, date, year, calendar era, esp. that commonly used in Burma. [id.] သက္ကရာဇ်။"
Date,သတ်စံပလံ,(n) date.
Date,သတ်စမ်ပလမ်,(n) date.
Date of birth,တ္ၚဲဒှ်မၞိဟ်,"(n) date of birth, due date."
Date of birth,သက္ကရာတ်ဒှ်မၞိဟ်,(n) date of birth.
Date palm,ပလံ,"2 ပလမ် (n) စံပလံ(မ်) (n) date, date palm."
Date palm,ပလမ်,"2 (n) စံပလံ(မ်) (n) date, date palm."
Date palm tree,စမ်ပလမ်,တၞံစမ်ပလမ် (n) date palm tree.
Date palm tree,စံပလံ,တၞံစံပလံ(မ်) (n) date palm tree.
Date.  စမ္မလံ။,စမ္ပလံ,စမ္ပလမ် (n) date. [id] စမ္မလံ(မ်)။
Dative case,သဗ္ဗဒါနကာရက,(n) [P.] {gram} dative case.
Datura metel l,တၞံပံၚ်မေတ်,"(n) narcotic weed, thorn-apple, Datura metel L."
Datura stramnium.  သတ်ပံၚ်မေတ်၊ တၞံပံၚ်မေတ်။,ပံၚ်မေတ်,"(n) thron-apple, stramony, stramnium, Datura stramnium. [id] သတ်ပံၚ်မေတ်၊ တၞံပံၚ်မေတ်။"
Daub,ဟုံ,"(v) to bathe, take a bath by pouring water over oneself from a jar, cistern, smear, be smeary, daub, be smeared. [Cf.] ကြာတ်၊ တလီု(မ်)၊ ပၠဳ၊ ဗလိုပ်၊ လဳ၊ လာၚ်၊ သၠု။ [Der.] ဖုံဍာ်(က်) (v) to give a bath to."
Daub,ဟုမ်,"(v) to bathe, take a bath by pouring water over oneself from a jar, cistern, smear, be smeary, daub, be smeared. [Cf.] ကြာတ်၊ တလီု(မ်)၊ ပၠဳ၊ ဗလိုပ်၊ လဳ၊ လာၚ်၊ သၠု။ [Der.] ဖုံဍာ်(က်) (v) to give a bath to."
Daughter,ကောန်ဇာတ်,"(n) girl, daughter, son, sons and daughters, offspring, children."
Daughter,ကောန်ဖျုန်ဂြိုဟ်,"(n) heart, {arch} beloved son, daughter, off spring one’s children. [Syn.] ဖျုန်ကောန်ကၟံ(အ်)၊ ဖျုန်ဂြိုဟ်။"
Daughter,ကောန်ဗြဴ,"(n) wife, family, daughter."
Daughter,ဇာတ်,"1 (n) descent, genealogy, existence, birth, life, caste, social classification as recognized by Hinduism. [id] ဒဒှ်မနွံဒၟံၚ်၊ ဒဒှ်မဂျိုၚ်ဒၟံၚ်။    ကောန်ဇာတ် (n) girl, boy, daughter, son. [Cf.] အဆက်၊ ဇာတိ။"
Daughter-in-law,ကောန်ခအှ်,(n) daughter-in-law.
Daughter-in-law.    ကောန်ခအှ်  daughter-in-law,ခအှ်,1 (n) daughter-in-law.    ကောန်ခအှ်(ဟ်) (n) daughter-in-law.
Dauntlessly,နဒဒှ်မဟၟဲကဵုဖေက်ရောံဓည,(adv) dauntlessly.
Dawn,တၚဲ,"တ္ၚဲယး (n) dawn, morning, tomorrow. [Cf.] အယး။"
Dawn,တ္ၚဲယး,"(n) dawn, morning, tomorrow. [Cf.] အယး၊ အရှိုန်၊ အသိုန်၊ အသြိုန်။"
Dawn,ပယဵုယး,"(n) period before dawn, dawn, small hours."
Dawn,ဖလာၚ်,"(n) ဖလာၚ်ယး (n) early morning, dawn."
Dawn,ဖလှာၚ်ယး,"(n) dawn, early morning."
Dawn,ဖၠာၚ်ယး,"(n) dawn, daybreak. (v) dawn brakes."
Dawn,ယး,"1 (n) morrow, dawn, tomorrow.    ပယျဵုယး (n) period before dawn. [Var.] အယး၊ လယး၊။    ယးတေံအဲအာဂၠာဲကမၠောန်ဏောၚ် (n) tomorrow I am going to look for a job."
Dawn,အခိၚ်စာၚ်ဂြဴ,"(n) cock-crow, dawn."
Dawn.  at dawn,ကာလပယျဵုယး,(n) dawn. (adv) at dawn.
Dawn.  အရှိုဏ်၊ အသြိုန်၊ အသြိုန်စာ်၊ အသြိုန်တိုန်။,အသြိုန်,"(n) day-spring, dawn. [id] အရှိုဏ်၊ အသြိုန်၊ အသြိုန်စာ်၊ အသြိုန်တိုန်။"
Dawna range,ဒဵုလေဝ်ဟွံဒှ်ဍာ်ေလဝ်ဟွံစှ်ေ,ဒဵုမံၚ်မှ (n) Dawna range.
Day,တ္ၚဲ,"(n) sun, sunlight, day, middle of day {from about ten o’clock to two}. [id] တ္ၚဲတဴဓဝ်။"
Day after day,တ္ၚဲဗွဲမဂၠိုၚ်,(n) day after day.
Day after the day tomorrow.  ကလာတေံ။    နူကလာတေံ  in three days’ time.  အယး၊ ကလဳ၊ ကလုက်၊ ကလေက်။,ကလာ,"2 (n) third day from that of utterance, day after the day tomorrow. [id] ကလာတေံ။    နူကလာတေံ(အ်) (prep.) in three days’ time. [Cf.] အယး၊ ကလဳ၊ ကလုက်၊ ကလေက်။"
Day and night,တ္ၚဲဗ္တံ,(n) day and night.
Day and night,ဗတံ,ဗ္တံတ္ၚဲ (n) day and night.
Day and night,ဗတမ်,ဗ္တံတ္ၚဲ (n) day and night.
Day before sabbath,တ္ၚဲတိၚ်,"(n) eve of Sabbath, day before Sabbath, day of shaving hair (monk), day before worship day. [Cf.] တ္ၚဲသဳ။"
Day before worship day.  တ္ၚဲသဳ။,တ္ၚဲတိၚ်,"(n) eve of Sabbath, day before Sabbath, day of shaving hair (monk), day before worship day. [Cf.] တ္ၚဲသဳ။"
Day before yesterday.    နူကဏိတေံ  in the day before yesterday.  ကဏ၊ ကဏေံ။,ကဏိ,2 (n) day before yesterday.    နူကဏိတေံ(အ်) (prep.) in the day before yesterday. [Cf.] ကဏ၊ ကဏေံ။
Day fix for earring of a case in a court of law,တ္ၚဲဏာတ်ဖာတ်ရုၚ်,"(n) day fix for earring of a case in a court of law, appointment at court."
Day of moon’s waning period.  စွေက်။    က္ထိုန်ပိစွေက်  the third waning of kathon.  မံက်။  စွေက်။     ဝှေက်  to wane,ကဝေက်,4 (n) day of moon’s waning period. [id] စွေက်။    က္ထိုန်ပိစွေက် (n) the third waning of Kathon. [opp.] မံက်။ [Var.] စွေက်။    [Der.] ဝှေက် (v) to wane.
Day of moon’s waxing period,မံက်,"1 (n) day of moon’s waxing period, waxing of the moon.    ပုဟ်စှ်မွဲမံက် (n) the eleventh waxing of ပုဟ်။ [opp.] စွေက်။"
Day of shaving hair,တ္ၚဲတိၚ်,"(n) eve of Sabbath, day before Sabbath, day of shaving hair (monk), day before worship day. [Cf.] တ္ၚဲသဳ။"
Day on which full moon occurs,ဗပေၚ်,2 (n) day on which full moon occurs.
Day on which the moon entirely disappeared,ဂိတုအိုတ်,"(n) new moon, day on which the moon entirely disappeared, the last day of waning on which the moon is not visivle."
Day time,အခိၚ်တ္ၚဲ,"(n) day time, midday."
Day-spring,အသြိုန်,"(n) day-spring, dawn. [id] အရှိုဏ်၊ အသြိုန်၊ အသြိုန်စာ်၊ အသြိုန်တိုန်။"
Day.  တ္ၚဲ။,တၚဲ,"(n) sun, sunlight, day. [id] တ္ၚဲ။"
Daybreak,တ္ၚဲတၟး,"(n) broad daylight, daybreak."
Daybreak.  dawn brakes,ဖၠာၚ်ယး,"(n) dawn, daybreak. (v) dawn brakes."
Daysa reh maenyae,ရးမန်,"(n) the Mon country, land of the Mon or Peguans, Daysa Reh Maenyae, Reh Hongsar Waetoi, Monland {including Pegu, Irrawaddy and Tenasserim Divisions}, lower Burma."
Daytime,ပယာံတ္ၚဲ,"(perp) in the day time, daytime."
Dazed,ဒိၚ်ဒၚ်,(adj.) dazed.
Dazed.  တ္ၜူ၊ ဗ္ၜူ။,က္ၜူ,"(v) to be intoxicated, dazed. [id] တ္ၜူ၊ ဗ္ၜူ။"
Dazzling white.  ဗုၜတ်။,ဗုကိုဟ်,"(v) white indeed, to be snow-white, dazzling white. [id] ဗုၜတ်။"
Dead body,ဇွဂမ္စိုတ်,(n) dead body.
Dead body.  ဇွဂမ္စိုတ်။,ဇွ,"(n) corpse, carcass, dead body. [id] ဇွဂမ္စိုတ်။"
Dead drew him away and he returned to extinction,လလဴ,ယီုတံၚ်လလဴစဴဘဝပလိုက် (v) dead drew him away and he returned to extinction.
Dead fishes.    မသအုဲ  to stink.    သတ်အုဲ  rotten fruit.  အိုဟ်။     သ္အုဲ  to allow to rot,အုဲ,"1 (v) to be rotten, decay, become foul.    ကအုဲအုဲချိုတ်ချိုတ်တံဂှ် (v) rotten, dead fishes.    မသအုဲ (v) to stink.    သတ်အုဲ (v) rotten fruit. [Cf.] အိုဟ်။    [Der.] သ္အုဲ (v) to allow to rot."
Dead of the night.  at an untimely hour,ဗတံ,"ဗ္တံဒမၠု (n) untimely hour of the night, dead of the night. (adv) at an untimely hour."
Dead of the night.  at an untimely hour,ဗတမ်,"ဗ္တံဒမၠု (n) untimely hour of the night, dead of the night. (adv) at an untimely hour."
Dead person,အသုဘ,"1 (n) [P.] corpse, dead person, impurity, corruption, loathsomeness, funeral."
Dead.  ပြလိုက်။,ပလိုက်,"အာပလိုက် (n) gone to another world, dead. [id] ပြလိုက်။"
Deaden,ဂစိုတ်အကၚ်,"(v) treat substances eradicate odours, undesirable properties, etc. deodorize, deaden, denature."
Deadfall trap.    တီုပၟတ်  fire trap.  ကၟိန်၊ ဂၟုဲ၊ တေပ်၊ ဒၞက်၊ ပး၊ လျံ။,တီု,"1 (n)  trap consisting of plank or beam set of to fall and crush animal, deadfall trap.    တီုပၟတ် (n) fire trap. [Cf.] ကၟိန်၊ ဂၟုဲ၊ တေပ်၊ ဒၞက်၊ ပး၊ လျံ(အ်)။"
Deadpan look,မုက်မတ်ချိုတ်,"(n) poker face, straight face, deadpan look, unhappy or pathetic look."
Deaf,ထမ္ဍိုၚ်,"(n) deaf, deaf person. [id] သမ္ဍိုၚ်၊ မၞိဟ်က္တောဝ်က္ဍိုၚ်။ [Var.] အဍိုဝ်။"
Deaf person,သမ္ဍိုၚ်,(n) deaf person.
Deaf person.  သမ္ဍိုၚ်၊ မၞိဟ်က္တောဝ်က္ဍိုၚ်။  အဍိုဝ်။,ထမ္ဍိုၚ်,"(n) deaf, deaf person. [id] သမ္ဍိုၚ်၊ မၞိဟ်က္တောဝ်က္ဍိုၚ်။ [Var.] အဍိုဝ်။"
Deaf person. to be sluggish.  အ္ဍိုၚ်။,အဍိုၚ်,(n) deaf person.(v) to be sluggish. [id.] အ္ဍိုၚ်။
Deal တေံညိ။,dealt,ရံၚ် deal တေံညိ။
Dealings,အဆက်အဆောံ,"(n) relationship, dealings, intercourse, the act of communicating, the sending or exchange of information, ideas."
Dear,က္ဍၚ်,"1 (v) to be expensive, dear, precious.    ၚုဟ်က္ဍၚ် (v) to be expensive, dear.    သွံက္ဍၚ်က္ဍၚ် (v) to sell for a high price. [opp.] တန်။    [Der.] ဖ္ဍၚ် (v) to set a high price on."
Dear,ၝာဲ,"ကေတ်ဍာ်လက်ဖက်မွဲခေါ်ဏီဟာ၊ ဨကဵုကၠာၝာဲ(ယ်) (pron) do you want another cup of tea? Yes, please, dear."
Dear the eye of its mote,လမၠံ,သၟးလမၠံပ္ဍဲမတ် (n) dear the eye of its mote.
Dear the eye of its mote,လမၠမ်,သၟးလမၠံပ္ဍဲမတ် (n) dear the eye of its mote.
Dear.    သွံက္ဍၚ်က္ဍၚ်  to sell for a high price.  တန်။     ဖ္ဍၚ်  to set a high price on,က္ဍၚ်,"1 (v) to be expensive, dear, precious.    ၚုဟ်က္ဍၚ် (v) to be expensive, dear.    သွံက္ဍၚ်က္ဍၚ် (v) to sell for a high price. [opp.] တန်။    [Der.] ဖ္ဍၚ် (v) to set a high price on."
