English,Mon,Original_Definition
Mirror.    ပစၚ်ရံၚ်  to stare at.  ပစေံရံၚ်။    မုက်ဍေံအဲဟွံမိက်ရံၚ်  i do not want to set eyes on him. final in v. phr. often to make trial,ရံၚ်,"1 (v) to look, to behold, to look (at).    အဲရံၚ်ဂၠုၚ် (v) I was looking at the canoes.    အဲရံၚ်ဟွံညာတ် (v) I cannot see.    ကလေၚ်ရံၚ် (v) to look over, revise.    ကေဝ်ရံၚ် (v) to check the weight of.    ကျောဝ်ရံဝ် (v) to peep at.    ခယျရံၚ်စမ်လျိုၚ်ဍေံနွံမုစိရော (v) guess how much it weights.    ဂစိုၚ်ရံၚ် (v) to look down {at}.    ဂၠာဲရံၚ် (v) to guess.    ဒ္ၚောဝ်ရံၚ် (n) looking glass, mirror.    ပစၚ်ရံၚ် (v) to stare at. [id.] ပစေံရံၚ်။    မုက်ဍေံအဲဟွံမိက်ရံၚ် (v) I do not want to set eyes on him. Final in v. phr. Often to make trial, try doing.    လ္တက်ရံၚ်ဣဏံစံ(မ်) (v) try this one on.    လ္ပဗ္ဒန်ထောံအဲ အဲရံၚ်ဟွံညာတ် (v) do not stand in front of me, I cannot see.    လ္ၚာ်ရံၚ် (v) to look up, to look upwards.    သတ်ဗြဴဏံပချဳရံၚ်စံဍာ်ဍေံနွံဟာ (v) shake that coconut and see if there is any water in it.    သၟာန်ရံၚ် (v) to inquire. [Cf.] ကျောဝ်၊ ညာတ်၊ ဗဵု(ဝ်)၊ လ္ၚာ်(က်)၊ သ္ဂဝ်၊ သ္ၚေဝ်။"
Mirthful,မဒှ်သွက်ဂွံဂြိုၚ်စခိုဟ်,(adj) mirthful.
Miry.  မတၟုဲတဴဒၟံၚ်ကဵုခရီု၊ လ္စက်၊ လၞက်ခရီု။,မတၟုဲတဴဒၟံၚ်ကဵုလၟက်,(adj) miry. [id] မတၟုဲတဴဒၟံၚ်ကဵုခရီု၊ လ္စက်၊ လၞက်ခရီု။
Misappropriate,စပၠေၚ်ထောံ,"(v) misuse {of one’s position}, misappropriate."
Misappropriate,လုပ်ဍိုက်ကေတ်,"(v) {derog} usurp, take possession of something forcibly, misappropriate."
Miscarry,ကောန်လီု,(v) miscarry.
Miscarry,ဇၟံၚ်လီု,"(v) {animals} miscarry, abort."
Miscarry,ဒၟုၚ်ဒလေၚ်လီု,"(v) abort, miscarry."
Miscellaneous articles.  မသၠေက်မသၠံၚ်။,မလှေက်မလှံၚ်,"(adj) odds and ends, miscellaneous articles. [id] မသၠေက်မသၠံၚ်။"
Miscellany of iron nails,ဗၞာ်,"(n) nail, miscellany of iron nails, screws, etc. [id] ဗၞာ်ပ္သဲ(ယ်)၊ ပ္သဲဗၞာ်။"
Miscellany.  လိက်အ္စာကဝိဗွဲမဂၠိုၚ်ပံၚ်ကောံတုဲချူပ္တိတ်။,လိက်မဍိုက်ပေၚ်ကဵုပရောပရာနာနာသာ်,(n) miscellany. [id.] လိက်အ္စာကဝိဗွဲမဂၠိုၚ်ပံၚ်ကောံတုဲချူပ္တိတ်။
Miscellany.  အရာမထုဲထံၚ်နှဴရဴဒၟံၚ်။,နာနာပက္ကာရ,(n) miscellany. [id] အရာမထုဲထံၚ်နှဴရဴဒၟံၚ်။
Mischance,ပရိုက်ပဒြဴ,"(n) [Skt. upadrava] mischance, distress. [id] ပရိုက်ဥပဒြဴ။"
Mischance,ဥပဒြဴ,"(n) [Skt. upadrava] mischance, calamity."
Mischief that follow the person who done wrong on a benefactor,စရောဲ,(n) mischief that follow the person who done wrong on a benefactor.
Mischief-maker,မၞိဟ်ဗျဵုဗျံက်ညး,(n) mischief-maker.
Mischievous boy,တဏံမတ်,ကောန်ၚာ်သ္ဒးတၞံမတ် (n) mischievous boy.
Mischievous.  တၞံမတ်။,တဏံမတ်,(adj) mischievous. [id] တၞံမတ်။
Mischievous.  မဂၠာန်၊ မလေပ်ဗဇဵုတေက်ညး။,မလေပ်ကဵုဒဒိုက်ကဵုညး,(adj) mischievous. [id] မဂၠာန်၊ မလေပ်ဗဇဵုတေက်ညး။
Misconception.  ဒဒှ်မနွံကဵုအထေၚ်ဗၠေတ်။,ဒဒှ်မနွံကဵုလညာတ်ဗၠေတ်,(n) misconception. [id] ဒဒှ်မနွံကဵုအထေၚ်ဗၠေတ်။
Misconduct,ဒုစရိုတ်,"(n) [P. duccarito] misconduct, sin, vice, evil {deed, word, thought}."
Misdeed,အကုသလ,"(n) [P.] evil, misdeed, demerit. [id.] အကုသိုလ်။"
Misdeed,အပၠေတ်,"(n) guilt, offence, misdeed, wrong, sin."
Miser,ဂတက်,"1 (n) miser, avarice. [Cf.] က္တက်။"
Miser,ပတ်ကြေံ(ဟ်),(n) miser.
Miserably,နဒဒှ်မနွံကဵုဒဒိုက်စိုတ်ဗွဲမလောန်,(adv) miserably.
Miserliness.  ခအေတ်ဂမ္တက်။,ဂဗိဂမ္တက်,"(n) parsimony, niggardliness, miserliness. [id] ခအေတ်ဂမ္တက်။"
Miserly,ဂိုဟ်,"2 (v) be sorry to lose something, be stingy, miserly, to regret the loss of miss, to go short of.    နာဍဳအဲကၠေံအာအဲဂိုဟ်ကွေံ (v) I do miss my watch since I have mislaid it.    မၞိဟ်ဂှ်ဒၟာနူချိုတ်အာအဲဂိုဟ်ပညာဍေံကွေံကွေံ (v) now that he is dead, I miss his wisdom very much."
