English,Mon,Original_Definition
Rainy season,ဥတုကသီု,"(n) rainy season, from ဒ္ဂိုန် to ဝှ်။"
Rainy season of buddhist lent,ဝှ်,"(n) [P. vasso] rainy season of Buddhist Lent, the monks count the years of their religious life by the number of rainy seasons, hence, it also means year, seventh lunar month (roughly corresponding to October), lenten period of three months, terminating on full moon day of seventh month."
Rainy season of buddhist lent,ဝဟ်,"(n) [P. vasso] rainy season of Buddhist Lent, the monks count the years of their religious life by the number of rainy seasons, hence, it also means year, seventh lunar month (roughly corresponding to October), lenten period of three months, terminating on full moon day of seventh month."
Rainy season or buddhist lent,လုပ်ဒ္ဂိုန်,"(v) period of the Buddhist Lent, rainy season or Buddhist Lent, beginning of the Buddhist Lent or monsoon started. [id.] အခိၚ်ဗြဲ(ယ်)၊ ဗှ်(ဟ်)။"
Rainy season.  လသီု၊ အခိၚ်ကသီု၊ အခိၚ်ြဗဲ၊ ဥတုကသီု၊ ဝဿန္တဥတု။  ဥတုဗြဲ။,ကသီု,(v) rainy season. [id] လသီု(မ်)၊ အခိၚ်ကသီု(မ်)၊ အခိၚ်ြဗဲ(ယ်)၊ ဥတုကသီု(မ်)၊ ဝဿန္တဥတု။ [Syn.] ဥတုဗြဲ(ယ်)။
Rainy season.  ဝဿန္တဥတု။,ဝဿန်,"(n) [P. vassanam] the rains, rainy season. [Cf.] ဝဿန္တဥတု။"
Rainy season.  ဥတုဒသီု၊ အခိၚ်ဒသီု။  ဥတုဗြဲ၊ ကသီု၊ လသီု။,ဒသီု,(n) rainy season. [id] ဥတုဒသီု(မ်)၊ အခိၚ်ဒသီု(မ်)။ [Syn] ဥတုဗြဲ(ယ်)၊ ကသီု(မ်)၊ လသီု(မ်)။
Rainy season.  ဥတုလသီု၊ အခိၚ်လသီု။  ဥတုဗြဲ၊ ကသီု၊ ဒသီု။,လသီု,(n) rainy season. [id.] ဥတုလသီု(မ်)၊ အခိၚ်လသီု(မ်)။ [Syn.] ဥတုဗြဲ(ယ်)၊ ကသီု(မ်)၊ ဒသီု(မ်)။
Rainy.  မဂၠိုၚ်ဗြဲ၊ မနွံကဆံၚ်ဗြဲဂၠိုၚ်။,မဂၠိုၚ်တဴကဵုဗြဲ,(adj) rainy. [id] မဂၠိုၚ်ဗြဲ၊ မနွံကဆံၚ်ဗြဲဂၠိုၚ်။
Raise,ပၚ်,"(v) to life, raise, hold up, to lift up, to bear up. [Cf.] ကယျာ၊ ထတိုန်၊ ထ္ၜ၊ ထ္ၜၚ်၊ ပ္တိုန်၊ ယာ၊ ယဵု။"
Raise,ယာ,"4 (v) to lift up, raise, elevate. [id.] ယာတိုန်၊ ယာပ္တိုန်။ [Cf.] ထ္ၜ၊ ထ္ၜၚ်၊ ပ္တိုၚ်၊ ပၚ်၊ ဗ္တိုန်၊ ယဵု(ဝ်)။    [Der.] ကယျာ (v) to lift up, be lift up.    ယာပ္တိုန်က္ဍိုပ်ညိတုဲ(ယ်) (v) raising his head slightly.    ယာပ္တိုန်သ္ကိုပ်တလာ (v) to lift the lid of the box."
Raise,လဟဵု,"2 (v) raise, upgrade, enhance the quality, to renovate, restore, renew. [Cf.] နာပ်၊ ပလေဝ်၊ ဗ္ဂပ်၊ ဗၠံ(အ်)။ [Var.] ဂဟဵု(ဝ်)၊ ဒဟဵု(ဝ်)။"
Raise a rebellion,သပုန်,"2 (v) to rebel, raise a rebellion, mutiny.    ပုန် (v) to rebel. [Var.] ထပုန်။"
Raise as a pet,လွဳမိန်မံလဝ်,"(v) raise as a pet, groom or train someone to become one's confidant or trusted servant."
Raise hood ,ယိုက်ဒၞော်,(v) raise hood {ဇြုံ(မ်) (n) snake}.
Raise objection,ချိုအ်ဒဝ်,"(v) to obstruct, raise objection, object."
Raise obstructions,ဆေဝ်ဒဝ်,"(v) to obstruct, raise obstructions, object."
Raise one’s fist in anger or in a show of defiance,ပစူပ္တိုန်သတ်တဲ,(v) raise one’s fist in anger or in a show of defiance.
Raise or put up price,ပ္တိုန်ၚုဟ်,(v) raise or put up price.
Raise out,ဂွးပ္တိုန်,(v) raise out.
Raise somebody to the rank as a noble,ပခိုဟ်စ,(v) {of a king} raise somebody to the rank as a noble.
Raise the barn.  သိုၚ်ပ္တဴသ္ၚိ။,ပ္တဴဒယိုၚ်သ္ၚိ,"(v) raise the posts of the house, raise the barn. [id] သိုၚ်ပ္တဴသ္ၚိ။"
Raise the posts of the house,ပ္တဴဒယိုၚ်သ္ၚိ,"(v) raise the posts of the house, raise the barn. [id] သိုၚ်ပ္တဴသ္ၚိ။"
Raise to a higher position,သၠုၚ်လဝ်,"(v) to raise, to higher position, raise to a higher position, make high. [id.] သၠုၚ်ပ္တိုန်ကဵုဒၞာဲ(ယ်)။"
Raise to office,ပ္တိန်ဒၞာဲ,"(v) to appoint to an office, raise to office."
Raise up,သၠုၚ်ပ္တိုန်,"(v) raise up, run up. [id.] ခၞံဗဒှ်ဂရက်ဂရက်၊ ဇၞော်သၠုၚ်တိုန်၊ တလုၚ်၊ ပ္တဴလဝ်၊ သိုၚ်ပ္တိုန်ဂရက်ဂရက်။"
