English,Mon,Original_Definition
Palm-leaf book.   သၠပတ်။,ဗပိုတ်ရိုတ်တာ,(n) palm-leaf book. [Var.] [id] သၠပတ်။
Palm-leaf manuscript,လိက်ပတ်,(n) palm-leaf manuscript.
Palm-leaf manuscript,သၠပတ်,"(n) palm-leaf prepared for writing, palm-leaf book, palm-leaf manuscript, learned or religious, a religious book or writing, any book or writing treating of art or science, prose as distinguished from verse. [Cf.] ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။"
Palm-leaf manuscript learned or religious work.  ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။,လှ,"သၠပတ် (n) palm-leaf prepared for writing, palm-leaf manuscript learned or religious work. [Cf.] ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။"
Palm-leaf prepared for writing,လှ,"သၠပတ် (n) palm-leaf prepared for writing, palm-leaf manuscript learned or religious work. [Cf.] ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။"
Palm-leaf prepared for writing,သၠပတ်,"(n) palm-leaf prepared for writing, palm-leaf book, palm-leaf manuscript, learned or religious, a religious book or writing, any book or writing treating of art or science, prose as distinguished from verse. [Cf.] ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။"
Palm-leaf.    လိက်ပတ်   palm-leaf book,ပတ်,"1 (n) palm-leaf.    လိက်ပတ် (n) [P. patta, Skt. pattra] palm-leaf book."
Palma christi,တောၚ်,"1 (n)castor-oil plant {medicinal plant}, palma Christi, Ricinut communis L. [id] တၞံတောၚ်။"
Palma christi,တၞံတောၚ်,"(n) castol oil plant, palma Christi, Ricinus communis L., cotton tree. [id] တောၚ်။"
Palmist,မၞိဟ်ရံၚ်လက်သန်ဂတာတဲ,(n) palmist.
Palmist's or astrologer's forecast or horoscope in writing,လိက်တၞးတွံ,(n) palmist's or astrologer's forecast or horoscope in writing.
Palmistry,ကွတ်ပညာမရံၚ်စလက်သန်ဂတာတဲ,(n) palmistry.
Palmy.  မဇၞော်မောဝ်၊ မခိုဟ်စ။,မဒှ်ဒၟံၚ်ဂြိုပ်တာ,(adj) palmy. [id] မဇၞော်မောဝ်၊ မခိုဟ်စ။
Palmyra,တာ,"1 (n) Palmyra, toddy palm, the fan palm palmyra, Borassus flabellifer L.    ကဝ်တာ (n) palmyra sugar, jiggery.    ဂၠဴတာ (n) palmyra fruit colour cow, light blue colour cow.    ကၠဴတာ (n) flower of male palmyra.    ဍာ်တာ (n) palm toddy.    တၞံတာ (n) palmyra.    ဗ္ဂဲတာ (n) ginger cat."
Palmyra,တာလ,(n) [Skt./P.] palmyra.
Palmyra fruit,သတ်တာ,(n) palmyra fruit.
Palmyra fruit colour ox,ဂၠဴတာ,"(n) light blue ox, palmyra fruit colour ox."
Palmyra leaf prepared for writing.  သၠပတ်။,လှ,သၠရိုတ်တာ (n) palmyra leaf prepared for writing. [Cf.] သၠပတ်။
Palmyra palm tree,တၞံတာ,"(n) palmyra palm tree, toddy palm, Borassus flabellifer L. [id] တာ။"
