English,Mon,Original_Definition
I am really sorry that you should have had trouble my account,ဓဒိုက်,ဒၟာန်နူအဲဗှ်ေဒှ်ဓဒိုက် အဲအောန်စိုတ်ကွေံ (n) I am really sorry that you should have had trouble my account.
I am really sorry that you should have had trouble on my account,ဒဒိုက်,ဒၟာနူအဲမၞးဒှ်ဒဒိုက်အဲအောန်စိုတ်ကွေံ (n) I am really sorry that you should have had trouble on my account.
I am really sorry that you should have had trouble on my account,ဒမာန်,ဒၟာန်နူအဲဗှ်ေဒှ်ဒဒိုက်အဲအောန်စိုတ်ကွေံ(ဟ်) (n) I am really sorry that you should have had trouble on my account.
I am really sorry that you should have had trouble on my account,အောန်စိုတ်,ဒၟာနူအဲဗှ်ေဒှ်ဒဒိုက် အဲအောန်စိုတ်ကွေံ (n) I am really sorry that you should have had trouble on my account.
I am returning the rice they lent us,ပလန်,အဲပလန်မံၚ်သ္ၚုညးတံဒလေံနၚ်လဝ်ဂှ် (v) I am returning the rice they lent us.
I am sick.  အဲဂွံယဲ။,အဲကလိဂွံယဲ,(pers.) (pron.) I am sick. [id] အဲဂွံယဲ။
I am splicing the rope that broke,ဆက်,အဲဆက်ဇုက်ပိုတ်မံၚ်ဂှ် (v) I am splicing the rope that broke.
I am sure they prefer rangoon,စှ်ေစိုတ်,ဍေံတံဒးစိုတ်ဍုၚ်လ္ဂုၚ်ဏောၚ် အဲစှ်ေစိုတ် (v) I am sure they prefer Rangoon.
I am sure you will pass,စှ်ေစိုတ်,မၞးအံၚ်ဏောၚ်အဲစှ်ေစိုတ် (v) I am sure you will pass.
I am taking this away,ခၜၚ်,"ဣဏံအဲယိုက်ဏာထ္ၜၚ်ကဵုအဲစမ် (v) I am taking this away, give me a heave up with it."
I am taking this away,ထၜၚ်,"ဣဏံအဲယိုက်ဏာထ္ၜၚ်ကဵုအဲစံ(မ်) (v) I am taking this away, give me a heave up with it."
I am thoroughly fed up,ညိဂိဟွံသေၚ်,(adv) I am thoroughly fed up.
I am thoroughly fed up.  သရန်။,ဂိ,"သ္ဒးကဵုကဝက် ညိဂိဟွံသေၚ်ဟေၚ် (v) I have to hand over half {my crope}, I am thoroughly fed up. [Cf.] သရန်။"
I am tired of the job of headman,အာတ်,"ဒၟာနူအာတ်အခေါန်ဝါတ် အဲစိုတ်လီုအာကဵုကမၠောန်ဃံၚ် (v) because the taxes are difficult to collect, I am tired of the job of headman."
I am very happy to find you in good health,စိုတ်မိပ်,ဒၟာနူအဲဂွံဆဵုကလောတံ ထတ်ထတ်ယုက်ယုက် အဲစိုတ်မိပ်ကွေံ (v) I am very happy to find you in good health.
I am waiting till he arrives,ဒဵုကဵုညးစိုပ်အဲမၚ်မံၚ်,(adv) I am waiting till he arrives.
I am well,အဲမံၚ်စဒးရး,(pers.) (pron.) I am well.
I applied to the authorities in bangkok,အာတ်,အာတ်ဂွံအလဵုအသဳပ္ဍဲၜံၚ်ကံက် (v) I applied to the authorities in Bangkok.
I asked you for some ,အာတ်,အဲအာတ်စဗှ်ေ (v) I asked you for some {to eat}.
I beat my son too hard,ကဟောံ,"အဲတက်ဒးကောန်အဲလောန်အာ အဲကဟောံကွေဟ် (v) I beat my son too hard, I regret it now."
