English,Mon,Original_Definition
Fall down,ဖတုံ,"ဖတုမ် (v) to throw down, to cast down, to fall, fall down, to knock down. [id] ဖ္တုံ(မ်)။"
Fall down from a tree,ပ္တုံစှ်ေနူဆု,(v) fall down from a tree.
Fall flat,လတ်စှ်ေ,"(v) to fall down, fall flat."
Fall headlong into the four hells.  ဗ္တက်စှေ်လန်။,ဗတက်,ဗ္တက်စှေ်အပဲါပန် (v) fall headlong into the four hells. [id] ဗ္တက်စှေ်လန်။
Fall headlong.    ဂတဴဂတက်စှ်ေ  to fall head over-heels.    လက်ဂတက်  upside down.  first sense,ဂတက်,"3 (v) to tumble, turn a somersault, to lie face downwards, fall headlong.    ဂတဴဂတက်စှ်ေ (v) to fall head over-heels.    လက်ဂတက် (prep) upside down. [Cf.] first sense, ဂတး၊ ဂၠန်။ [Syn.] second sense, မိုပ်။ [opp.] second sense, ဂၠ၊ ဂၠဝ်၊ လ္ၚာ။ [Cf.] ဖတက်၊ ဗ္တက်။"
Fall in love with each other. ကဵု with,နွံမေတ္တာ,"(v) to be friend, fall in love with each other. ကဵု with."
Fall into,ခတုံ,"ခတုမ် (v) to fall, fall down, fall into, to knock down. [id] ဒတုံ(မ်)၊ ဂတုံ(မ်)။"
Fall into ruin,သရိုဟ်,"(v) to decay, become dilapidated, fall into ruin, to fall down, collapse, to demolish, to crumble, to tumble, to fall to pieces, to fall off, {of vegetables, flowers} rotten."
Fall into.  ဒတုံစှ်ေအပ္ဍဲ။,ခတုံ,"ဒတုံစှ်ေ (v) to fall, fall down, fall into. [id] ဒတုံစှ်ေအပ္ဍဲ(ယ်)။"
Fall off,ယောၚ်အာ,"(v) deteriorate in conduct, fall off, to withdraw, to degenerate."
Fall on hard time,ဓဒိုက်,"ဒးဓဒိုက် (n) to meet with trouble, fall on hard time."
Fall on hard times,ဒဒိုက်,"ဒးဒဒိုက် (v) to meet with trouble, fall on hard times."
Fall on hard times,ဒးဒဒိုက်,"(v) to meet with trouble, fall on hard times."
Fall on hard times. as va.  preceding main   must,သ္ဒးဒဒိုက်,"(v) to meet with trouble, fall on hard times. As va. {1} preceding main (v) {a} must, to have to. {in questions} may."
Fall or come off,တသိုဟ်,"2 (v) fall or come off, shed, loose."
Fall out.  ထလောတ်။,ခလောတ်,"(v) to slip, come off, to strip, peel, take off, fall out. [id] ထလောတ်။"
Fall short in quantity.    ဂြပ်ပိုန်ဍုၚ်ပိုဲယုတ်အာ  our country's wealth has been dissipated.    ဗွဲမယုတ်  at least.    မၞိဟ်ဏံယုတ်ဍေံဟီု  he said that man was a good-for-nothing character.  first sense,ယုတ်,"1 (v) to be depraved of despicable character, to degenerate, to diminish, fall short in quantity.    ဂြပ်ပိုန်ဍုၚ်ပိုဲယုတ်အာ (v) our country's wealth has been dissipated.    ဗွဲမယုတ် (adv) at least.    မၞိဟ်ဏံယုတ်ဍေံဟီု(မ်) (v) he said that man was a good-for-nothing character. [Cf.] first sense, ကြံ(မ်)၊ ပရေံ(အ်)၊ ပါပ၊ ဗျောဟ်။ second sense, ဒေက်၊ ယံ(အ်)၊ ဟုတ်။    [Der.] ပျုတ် (v) to malign."
Fall to pieces,လာ်,"3 လာက် (v) to fall down through decay, fall to pieces, to cave in, to crumble, as an old brick building, to cave in as the bank of a stream undermined by the water.    တိုက်လာ်မံၚ် (v) the bilding is falling to pieces.    ဒဵုလာ်အာ (v) there has been a landslide. [Cf.] ထရိုဟ်၊ လီု(မ်)။    [Der.] ပလီုပလာ်(က်) (v) to destroy.    ပၠာ်(က်) (v) to demolish.    ဗလာ်(က်) (v) to blast away.    လိက် (n) [P. lekho, lekhanam] written matter, writing, book, letter.    ကဵုဏာလိက် (n) to send a letter.    ချူမံၚ်လိက် (n) he is writing.    ဂွံလိက် (n) to get a passage by heart.    စက်တက်လိက် (n) type writer. [Cf.] စက်မအက္ခဝ်။    စက်ပ္ဍဵုလိက် (n) printing-press.    တလာလိက် (n) pillar-box. [Var.] စေဝ်စုတ်လိက်။    တိုၚ်လိက် (n) envelope.    ပ္ဍဵုလိက် (v) to print.    ဗှ်မံၚ်လိက် (n) he is reading.    မုက်လိက် (n) page.    ရုၚ်ထောံလိက် (n) post office. [Var.] တိုက်ပလံၚ်လိက်။    လေပ်လိက် (v) to be literate. [Cf.] ပြကိုဟ်၊ သၠပတ်၊၊    လိက်ဏံသွက်ညးဂှ်(ဟ်) (pron) whose book is this?"
Fall to pieces.  ခရိုဟ်၊ ဖရိုဟ်၊ လာ်၊ သရှော်၊ သရိုဟ်။,ထရိုဟ်,"(v) fall, drop, drop off, fall to pieces. [Var.] ခရိုဟ်၊ ဖရိုဟ်၊ လာ်၊ သရှော်၊ သရိုဟ်။"
Fall တေံညိ။  to fell as a tree.   ဒဗိုၚ်ဖျေံ။,fell,ရံၚ် fall တေံညိ။  to fell as a tree. (vt)  ဒဗိုၚ်ဖျေံ။
Fall.    သၠဆုလသိုတ်စှ်ေမံၚ်  the leaves are falling,လသိုတ်,"2 (v) loose, shed, fall.    သၠဆုလသိုတ်စှ်ေမံၚ် (v) the leaves are falling."
Fall.  တ္ကးဒေါံလာ်။,တကးဒေါံလာ်,(v) {of sky} fall. [id] တ္ကးဒေါံလာ်။
Fallow land,တိသမၠး,"(n) vacant land, fallow land, uncultivated land."
Fallow round in a circle.    ကောန်ၚာ်ဍေၚ်ညးသ္ကံကၠောံဍာ်ပလိုၚ်  the boys were chasing one another round the well.    ကောန်ဍေၚ်  trigger,ဍေၚ်,"1 (v) to move, fallow round in a circle.    ကောန်ၚာ်ဍေၚ်ညးသ္ကံကၠောံဍာ်ပလိုၚ် (v) the boys were chasing one another round the well.    ကောန်ဍေၚ် (n) trigger, hand of clock. [Cf.] ကၠောံ(အ်)၊ ဂေၚ်၊ ဂေတ်၊ ရေတ်၊ သွဝ်။    [Der.] ထဍေၚ် (v) to chase."
False belief,မိစ္ဆာဒိတ္ထိ,"(n) [P.] false belief, heresy, false or wrong views."
False belief,မိစ္ဆာဒိဋ္ဌိ,"(n) [P.] false belief, heresy, heretic. [id.] ရဲဒိဋ္ဌိ၊ ရဲပတှ်ေကွေတ်ဒိဋ္ဌိ။"
False doctrine,ယောဂပန်,"(n) four yogas or attachments, namely, to sensual pleasure, to existence, false doctrine, to ignorance. [id.] သံယောဇိုန်ပန်ပြကာ။"
False doctrine and ignorane,ဩဃ,"(n) [P.] flood, stream, it is used metaphorically of evils or passions which overwhelm humanity like a flood, of these are four, [viz.] sensual desire, renewed existence, false doctrine and ignorane."
False hood,ဂလာန်မဆောတ်ယောၚ်,"(n) unreality, false hood."
False hood,ဓဝ်တလန်,"(n) false hood, untruth."
False or wrong views,မိစ္ဆာဒိတ္ထိ,"(n) [P.] false belief, heresy, false or wrong views."
False praise,ဂလာန်ထ္အၚ်ပ္တိုန်,"(n) word of flattery, false praise."
False set of dentuers loans or savings,ဗီုၚေက်,(n)false set of dentuers loans or savings.
False view of individuality,သက္ကာယဒိဋ္ဌိ,"(n) illusion of self, false view of individuality."
False views.  ဒိတ္ထိ။,ဒိဋ္ဌိ,"(n) [P] opinion, doctrine, false views. [id] ဒိတ္ထိ။"
False witness,သက်သဳဟွံဍာံ,"(n) false witness, perjurer."
Falsehood,ဂလာန်ကၞိက်ကၟုန်,"(n) falsehood, lying."
Falsehood,ဂလာန်ထၟုန်,"(n) falsehood, lying."
Falsehood,ထၟုန်,"(n) falsehood, untruth."
Falsehood,မိစ္ဆာ,"(n) [P.] falsehood, error, (of belief) wrong, heretical."
Falsehood.  ထၟုန်။,မုသာ,"(n) [LF] lie, falsehood. [Cf.] ထၟုန်။"
Falsify,ကလေံ,"4 ကလေံ(အ်) (v) make something disappear, make something go away, get rid of something, falsify, lose something, execute, dispatch.    ကလေံဒၞာဲဇိုၚ် (v) cover up one’s tracks, go into hiding, to kill. [id] ကလေံထောံဒၞာဲဇိုၚ်။"
Falter,ဂဒေက်,"(v) give something in return, turn back, falter, want, need, lack, require."
Faluda,ဝှလူဒါ,"(n) [Hindi] faluda, sweet milk drink served with ice-cream, sago etc."
Fame,ကိတ္တိ,"(n) [P.] fame, report."
Fame,ခေတ်က္တဵု,"(v) become popular, rise into popularity, fame, power, etc. be in vogue or fashion."
Fame,တှ်,"2 တဟ် (v) ဒယှ်တှ် (v) fame, to be famous."
Fame,ယသ,"(n) [P] fame, reputation"
Fame.  ဓယှ်တှ်။    ဒဒှ်ေဓယှ်  acquaintance.  ဒယှ်။,ဓယှ်,2 (n) fame. [id] ဓယှ်တှ်။    ဒဒှ်ေဓယှ် (n) acquaintance. [Syn.] ဒယှ်။
Famed one,မယှ်,"(n) famed one, a person known to fame."
Familiar,ဆန်က္ၜန်,"(v) to be acquainted with, familiar, to be intimate with, to be friendly, to be dependent, to make research."
Familiar and friendly term of address,ၝာဲ,"(pers. Pron) femi. You. Used in friendly familiar way by elders to young folks, familiar and friendly term of address, used chiefly between spouses and to persons with whom the speaker is not acquainted."
Familiar face,တီမုက်မတ်,"(v) acquainted, familiar face."
Familiar term of address and reference to one’s father.  မမ၊ reduplication of root syllable of အပါ  father,ပါဝါ,(n) familiar term of address and reference to one’s father. [Cf.] မမ၊ reduplication of root syllable of အပါ (n) father.
Familiarity gained by experience,အညာ,"2 (adj.) knowledge, understanding, familiarity gained by experience, range of information, general knowledge. [id.] အရာမတုပ်သၟဟ်လဝ်စိုတ်၊ ဒဒှ်မမြက်စာဍိုဟ်ကေက်၊ ဒဒှ်မလေပ်စိုန်သ္ကီုကၠိုဟ်ခၠၚ်၊ ပြတ်ညာ၊ ပြဒ္ညာ။ မနွံကဵုဓဝ်ကၠိုဟ်ခၠၚ်၊ သတိဘာန်၊ မနွံကဵုလညာတ်ဆဵုဂဗ။"
Familiarity.  ပွမဒဒှေ်ဒယှ်။,ပွမဍုက်ကေဝ်,(n) familiarity. [id] ပွမဒဒှေ်ဒယှ်။
Family,ကောန်ဗြဴ,"(n) wife, family, daughter."
Family,ဂကူ,"(n) race, nation, nationality, kind, family, kin, sort, {of people} type, character."
Family,ဂကူဝေါၚ်သ,"(n) family, lineage."
Family,ဂြောဝ်,ဂြောဝ်တာ (n) family.
Family,ဂြောဝ်တာ,(n) family.
Family,တံမဇ,(n) family.
Family,ဖျုန်ကၟဝ်,"(n) red flesh, gall, bulbous growth {on bone or tree} parasitic shrub of the Lormthus, family, mistle toe. [id] တၞံကောန်ကၠၚ်။"
Family,မိမကောန်ဇာတ်,"(n) family, household."
Family,ဝေါၚ်သ,"(n) [P. vamsa] family, kindred, tribe, house."
Family,ဝံသ,"(n) family, lineage, race."
Family,သ္ၚိကၟိန်,"(n) family, household, family life."
Family,ၝဲဒေံ,"(n) sisters of one womb, brothers and sisters, relatives, kin, family."
Family and dependants,လွဳဝါရ,"(n) household, family and dependants."
