English,Mon,Original_Definition
Hack bamboo floor sheath.  to split and soak,သာဲ,3 (n) သာဲဗောပ် (n) hack bamboo floor sheath. (v) to split and soak.
Hack bamboo floor sheath.  to split and soak,သာယ်,3 (n) သာဲဗောပ် (n) hack bamboo floor sheath. (v) to split and soak.
Hack bamboo floor sheath.  to split and soak,သာဲဗောပ်,(n) hack bamboo floor sheath. (v) to split and soak.
Hack bamboo pole,ၜံက်သာဲဗောပ်ဒုန်,(v) hack bamboo pole.
Hack out the path,ၚးဂၠံၚ်,"(v) hack out the path, pioneer open up a way or show new methods to others."
Hackle,တသော်ကံ,"တသော်ကအ် (n) mane, neck feathers, hackle."
Hacksaw.  ဂတေက်ဖ္ကောဝ်။,ဂတေက်ပ္သဲ,(n) hacksaw. [id] ဂတေက်ဖ္ကောဝ်။
Hae ptosis,လ္တေၚ်မတ်ချိုတ်,(v) hae ptosis.
Haematite,ခၞိက်တိဗ္ကေတ်,"(n) red ochre, haematite."
Haemorrhoid တေံညိ။,hemorrhoid,ရံၚ် haemorrhoid တေံညိ။
Haft of an axe,တဝ်မုဲ,"(n) haft of an axe, traitor."
Hag,ဗြဴကာလကာဏဳ,"(n) hag, witch."
Haggle over price of goods for sale.  ဓဂုတ်  cheapen,သ္ဂုတ်ၚ္ၚုဟ်,"(v) bargain, haggle over price of goods for sale. [Der.] ဓဂုတ် (v) cheapen, to cut off, break off, to be cut off, to be broken off, to cease, to be scarce. [id.] ဗဂုတ်၊ ဗဂုတ်ဖျေံ(အ်)၊ သ္ကဵုၚ္ၚုဟ်မးတန်၊ သ္ကဵုၚ္ၚုဟ်မးသက်သာ၊ သ္ကဵုဒှ်အဇာပရေံပရေံ(အ်)။"
Hail-stone.  ဗြဲဍာ်ကလောံ၊ ဗြဲမဍာ်ကလောံ။,ဗြဲမပၠဳ,(n) hail-stone. [id] ဗြဲဍာ်ကလောံ(အ်)၊ ဗြဲမဍာ်ကလောံ။
Hail.    မပၠဳ  hailstone.  ဗြဲပၠဳ။  ဗြဲ။,ပၠဳ,1 (n) hail.    မပၠဳ (n) hailstone. [id] ဗြဲပၠဳ။ [Cf.] ဗြဲ။
