English,Mon,Original_Definition
Jungle,ဂြိုပ်,"(n) forest, jungle, foll-names of animals often wild, timber land. [id] ဌာန်ဒေသတိဍာ်ဆုဂကူတိုန်။"
Jungle,ဝနာ,(n) [P.] jungle.
Jungle,အရည,"(n) jungle, forest."
Jungle,အုပ်,"2 (n) block, billet, of wood, jungle, bush, thicket."
Jungle creeper,ဇုက်ဂြိုပ်,(n) jungle creeper.
Jungle crow,ခ္ဍာ်အရိုၚ်,"(n) jungle crow, Corvus macrorhynchos Waler. [id] ခ္ဍာ်ဂြိုပ်၊ ခ္ဍာ်သၟိၚ်ရာံ(မ်)၊ ခ္ဍာ်ဗၞံၚ်။"
Jungle crow,အရိုၚ်,ခ္ဍာ်အရိုၚ် (adj.) jungle crow.
Jungle fever,ဇွဟ်ဂစေံ,"(n) jungle fever, malaria."
Jungle fever,ယဲတ္ၚေက်,(n) jungle fever.
Jungle fever.  ဇွဟ်ဍိုၚ်။,ဇွဟ်ဂြိုပ်,(n) jungle fever. [id] ဇွဟ်ဍိုၚ်။
Jungle fowl,စာၚ်ဂြိုပ်,"(n) jungle fowl, Gallus gallus spadiceus Banaterre. [id] စာၚ်ဍေဝ်၊ စာၚ်အရိုၚ်။"
Jungle fowl.  စာၚ်ဂြိုပ်။,စာၚ်ဍေဝ်,(n) jungle fowl. [Syn.] စာၚ်ဂြိုပ်။
Jungle-fowl.    ဍိုပ်ဍေဝ်  butterfly,ဍေဝ်,2 (n) စာၚ်ဍေဝ် (n) jungle-fowl.    ဍိုပ်ဍေဝ် (n) butterfly.
Jungle.    ဟီုဂြိုပ်ဟီုဂၞိၚ်  the talks through forest and jungle,ဂၞိၚ်,"2 (n) {rare} jungle.    ဟီုဂြိုပ်ဟီုဂၞိၚ် (n) the talks through forest and jungle, he talks all the time. [Syn.] ဂြိုပ်။"
Junior division,အာယုက်အဇာအဒေါဝ်,"(n) {sport} junior title, junior division."
Junior monk appointed to supervise feeding arrangements of monastery,ဒကာရုၚ်,"(n) junior monk appointed to supervise feeding arrangements of monastery, steward, a monk appointed to arrange for meals."
Junior monk appointed to supervise feeding arrangements of monastery steward,ထကာရုၚ်,(n) junior monk appointed to supervise feeding arrangements of monastery steward.
Junior officer in charge of forest conservation,ပၟၚ်ပၟဲဂြိုပ်,"(n) forester, junior officer in charge of forest conservation."
Junior title,အာယုက်အဇာအဒေါဝ်,"(n) {sport} junior title, junior division."
Junja shrub,ပံၚ်မ,"2 (n) junja shrub, Abrus preactorius. [id] တၞံအုပ်ရာပ်  (n) shrub."
Junk,ကာတ်,"ကာတ်တူ (n) a kind of large boat, junk."
Junk,ကာတ်တူ,"(n) a kind of large boat, junk."
Junketing.  ပေဲါသုၚ်စ။,ဒဒှ်မစသုၚ်ဝေၚ်ဂြိုၚ်,(n) junketing. [id] ပေဲါသုၚ်စ။
Junta,အလဵုအသဳပၞာန်,"(n) junta, dictatorship, military government."
Jurisdiction.  နေဝ်၊ ပွဳပွိုၚ်။,ခန်လွာ,"(n) abode, dwelling place, domain, part of a state, territory, jurisdiction. [id] နေဝ်၊ ပွဳပွိုၚ်။"
Jurist prudence.  instruction,ဥပဒေ,"(n) [LF] law, jurist prudence. [P. upadeas] instruction, guidance."
Juror,ဇမၞော်ဂျူရဳ,(n) [Eng.] juror.
Jury,ဂျူရဳ,(n) [Eng.] jury.
Jury-rigged to a sailing boat to take advantage of a favourable current,ယာဍာ်,"(n) under water sail of bamboo matting, jury-rigged to a sailing boat to take advantage of a favourable current."
Just,ညံၚ်ညံၚ်,"(adv) just, slightly, part, particle suffixed to a noun to denote close or deceptive resemblance {equivalent in usage to adverbs “like, as though”}."
Just,ဒကူ,"(v) to be straight, to be straightforward, simple, to be honest, righteous, up-right, just, to be tame, to keep straight. [id] ဒဂူ။"
Just,ယာံဗၞတ်,"(adv) just, about."
Just as,အကြိုက်,"(adv) exactly as, the same as, just as."
Just as,အယာံမာတ်,"(adv.) just as, while.(n) measure, suitable quantity. [id] ကြိုက်၊ မာတ်ရ။"
Just as beautiful as her sister,အကြိုက်,အကြိုက်ညံၚ်ရဴၝဲဍေံဂေါဝ်ဆာဲ (adv) just as beautiful as her sister.
Just as he opened his eyes,အကြိုက်,အကြိုက်ညံၚ်ညးမမၠာ်မတ် (adv) just as he opened his eyes.
Just as the buddha loved all creatures,ဆာန်,"ညံၚ်ရဴကျာ်ဆာန်သတ်တံဂှ် မၞးလေဝ်ဒးဆာန်ဂကူမၞးဏောၚ် (v) just as the Buddha loved all creatures, so you too should love your neighbours."
Just as the buddha loved all creatures,ညံၚ်ရဴ,"ညံၚ်ရဴကျာ်ဆာန်သတ်တံဂှ် မၞးလေဝ်သ္ဒးဆာန်ဂကူမၞးဏောၚ် (prep.) just as the Buddha loved all creatures, so you too, should love your neighbours."
Just as the buddha loved all creatures,လေ,"ညံၚ်ရဴကျာ်ဆာန်သတ်တံဂှ်ဗှ်ေလေသ္ဒးဆာန်ဂကူဗှ်ေဏောၚ် (pn) just as the Buddha loved all creatures, so you, too, should love your neighbours. Sometimes merely oppositive, marking newly introduced subject of discourse."
Just as the buddha loved all creatures,လေဝ်,"ညံၚ်ရဴကျာ်ဆာန်သတ်တံဂှ်ဗှ်ေလေဝ်သ္ဒးဆာန်ဂကူဗှ်ေဏောၚ် (pn) just as the Buddha loved all creatures, so you too, should love your neighbous. Sometimes merely oppositive, marking newly introduced subject or discourse."
Just below.  on a lower level just below,ဒစိဟ်ဂှ်,"(adv) just below. (prep.) on a lower level just below, next."
Just beyond one’s reach,ကၠာစိုပ်ကဵုဟွံစိုပ်,(adv) just beyond one’s reach.
Just enough,ဆၜိုတ်ဒးရး,"(adv) just enough, passably, tolerably."
Just give me a light,ကဵုဍေန်ၜံက်မွဲတဲ,"(v) just give me a light, will you?"
Just make both ends meet,ဂွံအာစအာ,(adv) just make both ends meet.
Just on time,ဒးဖစပ်,"(v) to be exactly right, to be timely, just on time, be opportune, just right. [id] ကရိုက်။"
Just on time,ဗစပ်,"1 (v) to touch, be touching, to join, to bring together. [id] ဗ္စပ်။    ဒးဗ္စပ် (v) to be exactly right, just on time, to be opportune. [Cf] စုက်၊ စိပ်၊ ဍာပ်၊ ဒိ၊ ဒး၊ ဒွံ(အ်)။    [Der]   စပ် (v) to touch."
Just on time,သ္ဒးဖ္စပ်,"(v) to be exactly right, just on time."
Just right,ကရိုက်,"(n) suitability, fit exact capacity, exactitude, just right."
Just right,ဒးဗီု,"1 (v) to be according to specification, to be according to pattern, just right."
Just right.  ကရိုက်။,ဒးဖစပ်,"(v) to be exactly right, to be timely, just on time, be opportune, just right. [id] ကရိုက်။"
Just smokes opium.  ခမးခမး  to be useless.  သၟးသၟး။,ခမး,"မွဲသာ်ရောဟွံကၠောန်စ ဇြောတ်ဘိၚ်သၟး (v) he does not work at all, just smokes opium. [Der.] ခမးခမး (v) to be useless. [id] သၟးသၟး။"
Just try this one on.  ဂၠာံ၊ ဒွံ။,စံၜတ်,လ္တက်ရံၚ်ဣဏံညိစံ(မ်) (v) just try this one on. [Cf.] ဂၠာံ(မ်)၊ ဒွံ(အ်)။
Just two of them     ဗဓဝ်  to arrange in a straight line,ဓဝ်,"2 (v) to be direct, directly opposite, in the centre, to be exact, precise, no more than.    အာဓဝ်ဓဝ် (v) go straight on.    တဴဒၟံၚ်ဓဝ်ကဵုသ္ၚိပိုဲ (v) it is directly opposite our house.    တ္ၚဲတဴဓဝ် (n) time when sun is directly overhead, midday.    ဗြဲကျာဓဝ်ယာ (v) normal climate, normal weather.     ဗြဲဂူဓဝ်ယာ (v) have normal rain.    ဗြဲဍာ်ဓဝ်ယာ(v) normal rainfall.    မွဲဓဝ် (n) alone, only one.    ရိုက်သ္ၚုဂမၠိုၚ်မွဲဗ္ၜတ်ဓဝ်ဟွံသေၚ် (v) rice-bags are not all the same size.    ဟီုဓဝ်ဓဝ် (v) tell me exactly.    သီုဖအိုတ်ဟွံသေၚ် ၜါဓဝ်ညိကွေံ (v) not at all, just two of them    [Der.] ဗဓဝ် (v) to arrange in a straight line."
Just when one is mentioning it,ဃောဟီုဃောဂး,(adj) just when one is mentioning it.
Justice hall,မုက်ရုၚ်,(n) justice hall.
Justification.  တၚ်မသ္ကဵုပြာကတ်။,ဒဒှ်မသ္ကဵုပြာကတ်မာန်ဒဒှ်မဒှ်ဍာံဍာံ,(n) justification. [id] တၚ်မသ္ကဵုပြာကတ်။
Justly,ဗဗွဲဓဝ်,"(adv) justly, legally, righteously. [id] ဗွဲဓဝ်၊ နဒဒှ်ဗဗွဲဓဝ်၊ နဒဒှ်မစှေ်ကဵုဗဗွဲဓဝ်။"
Justly,ဗွဲဓဝ်,"(adv) justly, righteously."
Jusus,ဂျေရှု,(n) [Eng.] Jusus.
Jute,ကာန်,"1 (n) flax, jute, gunny.    တၞံကာန် (n) flax, jute.    ယာတ်ကာန် (n) linen.    ရိုက်ကာန် (n) gunny-bag."
Jute,ဇုက်ကာန်,"(n) jute, fibre from the outer skin of certain tropical plants."
Jute.    ယာတ်ကာန်  linen.    ရိုက်ကာန်  gunny-bag,ကာန်,"1 (n) flax, jute, gunny.    တၞံကာန် (n) flax, jute.    ယာတ်ကာန် (n) linen.    ရိုက်ကာန် (n) gunny-bag."
Juvenile delinquent,အတဵု,"(n) delinquent, juvenile delinquent, person who fails to do this duty."
