English,Mon,Original_Definition
Quasi.  with measures of time,ရိုဟ်,"3 (v) to count, enumerate.    ညးတံစပုၚ်စှ်မွဲနာဍဳရိုဟ်တ္ၚဲ(ယ်) (adj) they eat at eleven every day.    ညာတ်ၜိုပ်အဒါရိုဟ်ဟွံမာန် (v) you see countless wild fowls.    တော်ရိုဟ် (v) to add up, quasi. (pn) with measures of time, every, as follows."
Quay,သၞေဟ်က္ၜၚ်,"(n) harbour, quay, landing place for ships."
Queen,ကျာ်,"ဂၞကျာ်(က်) (n) queen, the wife of the king."
Queen,ဂၞ,"(n) ဂၞကျာ် (n) queen, the queen’s consort, the wife of a king or prince, actress. [Cf.] first sense, [id] ဨကရာတ်ဗြဴ၊ ဨကရာတ်ၝောံ(အ်)။ second sense, ဂၞကျာ်မာဲ (n) chief queen. [Var.] န။"
Queen,ဒေဝဳ,"(n) goddess, queen."
Queen,နာဲဗြဴ,"(n) lady, mistress, queen, female ruler."
Queen largerstroemia,ဂနဳ,"(n) large timber tree, queen largerstroemia, largerstroemial flos-reginae Retz. [id] ဂၞဳ၊ ဆုဂနဳ၊ တၞံဂနဳ။"
Queen largerstroemia,တၞံဂၞဳ,"(n) queen largerstroemia, large timber tree, largerstroemia flotreginae Retz. [Syn.] ဂနဳ၊ တၞံဂနဳ၊ ဆုဂနဳ။"
Queen largerstroemia flos-reginae retz.  ဂၞဳ၊ တၞံဂၞဳ။,ဆုဂၞဳ,(n) queen largerstroemia flos-reginae Retz. [Syn.] ဂၞဳ၊ တၞံဂၞဳ။
Queen mother,မေတၠ,(n) queen mother.
Queen mother’s apartments,ကၠတ်တာန်ဆံၚ်မိကျာ်ဂန်,(v) Queen mother’s apartments.
Queen regnant.  ဨကရာဇ်ၝောံ၊ ဂၞကျာ်။,ဨကရာဇ်ဗြဴ,"(n) queen ruling in her own right, queen regnant. [id] ဨကရာဇ်ၝောံ၊ ဂၞကျာ်။"
Queen ruling in her own right,ဨကရာဇ်ဗြဴ,"(n) queen ruling in her own right, queen regnant. [id] ဨကရာဇ်ၝောံ၊ ဂၞကျာ်။"
Queen.   ဨကရာတ်ဗြဴ၊ ဨကရာတ်ၝောံ။  ဂၞ၊ ဂၞကျာ်။,န,3 (n) နကျာ် (n) queen. [Cf.] [id] ဨကရာတ်ဗြဴ၊ ဨကရာတ်ၝောံ(အ်)။ [Var.] ဂၞ၊ ဂၞကျာ်။
